Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,74.24,75.57,73.92,75.52,1108988,
2020-08-25,75.68,76.19,75.45,75.85,1379428,0.004369703389830448
2020-08-26,75.55,76.23,75.06,75.84,1448657,-0.00013183915622927422
2020-08-27,76.48,77.0,75.97,76.54,1337300,0.009229957805907185
2020-08-28,76.71,77.42,76.13,77.31,1115202,0.01006009929448659
2020-08-31,76.76,77.15,76.16,76.47,1524507,-0.010865347303065653
2020-09-01,76.24,76.35,75.52,76.26,1268536,-0.002746174970576609
2020-09-02,76.67,78.28,76.5,78.01,1423329,0.022947810123262524
2020-09-03,78.16,78.28,75.71,76.34,2279734,-0.021407511857454153
2020-09-04,76.56,77.19,75.15,76.06,1823000,-0.0036678019386953142
2020-09-08,74.55,75.32,74.1,74.29,2667652,-0.023271101761766944
2020-09-09,74.78,76.49,74.16,75.78,1455453,0.020056535199892256
2020-09-10,75.89,76.88,75.03,75.3,2209618,-0.0063341250989708
2020-09-11,75.59,75.99,74.5,74.99,1566900,-0.004116865869853936
2020-09-14,75.89,77.97,75.6,77.62,2085600,0.03507134284571278
2020-09-15,77.88,79.38,77.86,78.91,1599000,0.01661942798247873
2020-09-16,79.23,80.52,79.14,79.75,2082817,0.01064503865162858
2020-09-17,78.07,79.77,78.0,79.52,2068248,-0.0028840125391850213
2020-09-18,79.77,79.93,77.91,78.59,2650424,-0.011695171026156803
2020-09-21,77.57,77.77,75.61,76.75,1617740,-0.02341264791958264
2020-09-22,77.18,77.77,76.54,77.6,1235300,0.011074918566775116
2020-09-23,77.92,78.07,75.69,76.07,1974383,-0.019716494845360866
2020-09-24,75.73,76.85,75.08,75.91,1356226,-0.0021033258840541524
2020-09-25,75.49,77.95,75.32,77.7,1328424,0.023580555921486113
2020-09-28,78.77,79.83,78.77,79.58,1580295,0.024195624195624044
2020-09-29,79.54,80.03,78.9,79.17,1695797,-0.005152048253329933
2020-09-30,79.26,80.44,79.03,79.77,2044295,0.007578628268283261
2020-10-01,80.11,80.95,78.7,79.35,1509700,-0.005265137269650277
2020-10-02,78.01,79.99,78.0,79.43,1613300,0.0010081915563959765
