Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,136.37,136.66,135.25,136.46,4295600,
2020-08-24,136.46,137.68,136.11,137.64,3177800,0.0086472226293417
2020-08-25,138.26,138.38,136.7,137.3,2597400,-0.0024702121476313232
2020-08-26,136.58,138.66,136.38,138.47,6019700,0.008521485797523543
2020-08-27,138.71,139.93,137.91,138.4,4159300,-0.00050552466238174
2020-08-28,138.52,139.96,137.24,139.94,3355400,0.011127167630057722
2020-08-31,139.32,141.02,139.0,140.06,3828700,0.0008575103615835467
2020-09-01,140.25,140.48,138.51,139.19,3421700,-0.006211623589890025
2020-09-02,139.52,143.82,139.35,143.29,4918200,0.02945613909045175
2020-09-03,142.77,144.04,138.12,139.37,6642400,-0.027357107962872385
2020-09-04,139.66,140.31,136.94,138.76,4836400,-0.0043768386309823715
2020-09-08,138.31,138.63,134.41,135.55,4901500,-0.023133467858172274
2020-09-09,135.5,138.46,135.4,137.11,4282300,0.01150866838804876
2020-09-10,136.6,137.55,133.88,134.76,6050500,-0.017139523010721525
2020-09-11,135.22,136.38,134.23,135.81,3411900,0.007791629563668856
2020-09-14,136.53,137.5,135.8,136.67,2779000,0.006332376113688198
2020-09-15,136.48,137.24,135.41,135.62,4080800,-0.0076827394453792275
2020-09-16,136.28,136.6,134.78,134.98,3353500,-0.0047190679840732885
2020-09-17,133.39,134.55,131.69,133.2,5186400,-0.013187138835383028
2020-09-18,133.71,134.79,130.01,131.47,8473000,-0.012987987987987948
2020-09-21,130.37,131.31,129.36,131.24,4402700,-0.0017494485433938722
2020-09-22,131.0,132.89,130.45,132.15,3951000,0.006933861627552496
2020-09-23,132.7,132.82,129.85,131.0,5909900,-0.008702232311766922
2020-09-24,131.44,132.31,129.92,131.58,4316600,0.004427480916030735
2020-09-25,130.89,133.83,130.51,133.55,4576000,0.0149718802249581
2020-09-28,136.04,138.58,135.67,137.97,7487500,0.03309621864470236
2020-09-29,138.66,139.54,137.13,137.16,4330500,-0.005870841487279899
2020-09-30,137.99,139.19,136.9,138.6,7060700,0.01049868766404205
2020-10-01,139.44,140.85,137.49,140.8,6483900,0.01587301587301604
2020-10-02,139.28,139.91,136.2,138.06,5130200,-0.019460227272727337
2020-10-05,138.11,138.38,136.98,137.93,4519800,-0.0009416195856873921
2020-10-06,138.0,138.82,135.15,135.7,5031000,-0.016167621257159537
2020-10-07,135.94,137.52,135.76,137.01,4347300,0.009653647752394967
2020-10-08,137.28,138.13,136.76,137.85,2977400,0.00613093934749287
2020-10-09,138.7,139.26,137.9,138.44,3194000,0.004280014508523777
2020-10-12,141.12,143.49,139.78,142.13,6167200,0.02665414620052009
2020-10-13,142.22,144.0,141.91,143.54,4293200,0.009920495321184886
2020-10-14,143.55,144.11,141.63,142.52,3641000,-0.007106033161487946
2020-10-15,141.16,141.97,140.62,141.43,3306800,-0.007648049396575929
2020-10-16,141.75,142.82,141.13,141.73,5076000,0.0021211906950433512
2020-10-19,141.34,142.53,139.25,139.68,3223200,-0.014464121921964224
2020-10-20,141.0,141.22,139.41,139.71,2750900,0.00021477663230240474
