Date,Open,High,Low,Close,Volume,Daily_Return
2020-09-30,10.0,11.42,9.11,9.5,338549492,
2020-10-01,9.69,10.1,9.23,9.46,129660350,-0.004210526315789331
2020-10-02,9.06,9.28,8.94,9.2,56343795,-0.02748414376321373
2020-10-05,9.43,9.49,8.92,9.03,36951976,-0.018478260869565166
2020-10-06,9.04,10.18,8.9,9.9,91313619,0.09634551495016619
2020-10-07,10.04,10.49,9.99,10.0,55469945,0.010101010101010166
2020-10-08,10.29,10.4,9.99,10.0,35995168,0.0
2020-10-09,10.13,10.19,9.89,9.95,20204367,-0.0050000000000001155
2020-10-12,10.04,10.05,9.66,9.89,20975708,-0.0060301507537686705
2020-10-13,9.88,9.88,9.41,9.47,22160337,-0.04246713852376138
2020-10-14,9.6,9.66,9.29,9.34,14101180,-0.013727560718057141
2020-10-15,9.27,9.91,9.18,9.91,13148853,0.06102783725910066
2020-10-16,9.94,9.95,9.66,9.71,11535929,-0.020181634712411634
2020-10-19,9.79,9.82,9.53,9.57,9333008,-0.014418125643666402
2020-10-20,9.6,9.66,9.27,9.27,11291094,-0.031347962382445194
2020-10-21,9.3,9.48,9.2,9.2,9424019,-0.007551240560949357
2020-10-22,9.37,9.75,9.22,9.68,18124924,0.052173913043478404
2020-10-23,9.71,9.83,9.47,9.49,12980138,-0.01962809917355368
2020-10-26,9.72,9.97,9.6,9.95,24188457,0.048472075869335995
2020-10-27,10.0,11.04,9.92,10.95,54271624,0.10050251256281406
2020-10-28,10.66,10.985,10.1,10.85,31926944,-0.0091324200913242
2020-10-29,10.9,11.1,10.56,10.75,20812272,-0.009216589861751112
2020-10-30,10.61,10.68,9.85,10.13,19928843,-0.057674418604651057
2020-11-02,10.23,10.57,10.23,10.54,12026142,0.040473840078973256
2020-11-03,10.57,10.94,10.44,10.5,21994100,-0.003795066413662118
2020-11-04,10.82,10.92,10.55,10.72,16019267,0.020952380952381056
2020-11-05,10.9,12.13,10.85,11.88,49022580,0.10820895522388052
2020-11-06,12.22,14.96,12.05,13.83,91141147,0.16414141414141414
2020-11-09,14.96,15.9,14.11,14.67,62551205,0.06073752711496749
2020-11-10,14.99,15.01,13.18,14.0,38871537,-0.045671438309475065
2020-11-11,14.57,15.97,14.4,15.96,47328286,0.14000000000000012
2020-11-12,16.66,17.06,14.41,14.58,100700648,-0.08646616541353391
2020-11-13,14.49,16.0,14.49,15.8,78142028,0.08367626886145407
2020-11-16,15.96,16.1,15.01,15.93,68381528,0.008227848101265867
2020-11-17,16.29,18.75,16.18,17.85,117539897,0.12052730696798508
2020-11-18,18.28,19.25,17.54,17.9,91505191,0.0028011204481790397
2020-11-19,18.5,18.98,17.96,18.98,57201235,0.060335195530726304
2020-11-20,19.03,19.66,18.0,18.15,73103035,-0.04373024236037948
