Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,197.93,199.0999,196.22,196.79,6071035,
2020-08-24,200.0,201.0988,196.57,198.88,5404075,0.01062045835662384
2020-08-25,198.49,201.96,196.24,201.67,5108202,0.014028559935639562
2020-08-26,202.53,205.35,200.25,203.48,6072171,0.008975058263499758
2020-08-27,206.81,207.0,202.3,204.34,6047473,0.004226459602909349
2020-08-28,205.4159,205.4159,202.42,204.48,4581319,0.0006851326221004594
2020-08-31,203.7,205.2523,202.2984,204.14,5628727,-0.001662754303599412
2020-09-01,205.59,209.8799,205.145,208.93,6237911,0.023464289213285028
2020-09-02,211.6222,212.45,204.6,210.82,7217334,0.009046091992533256
2020-09-03,205.69,206.59,194.95,204.99,15988394,-0.02765392277772505
2020-09-04,200.985,201.84,182.85,191.84,17034108,-0.06414947070588817
2020-09-08,184.7,191.75,184.7,185.95,9282378,-0.030702668890742357
2020-09-09,191.0,195.75,187.3,194.6,8541960,0.046517881150847096
2020-09-10,196.09,198.22,187.84,190.09,6580655,-0.023175745118191093
2020-09-11,191.462,192.1,180.93,184.0,8110351,-0.03203745594192231
2020-09-14,186.0,188.6,184.38,186.96,7053058,0.016086956521739193
2020-09-15,190.05,190.45,184.18,186.02,7763369,-0.005027813436029094
2020-09-16,187.095,189.34,180.67,180.91,8174799,-0.027470164498441085
2020-09-17,176.63,178.74,173.79,175.79,11840100,-0.028301365319772342
2020-09-18,176.7,178.25,171.63,176.07,13557242,0.0015928096023665184
2020-09-21,174.84,183.45,174.08,183.21,13765625,0.040552053160674895
2020-09-22,186.79,188.06,182.185,187.78,8939288,0.024944053272201172
2020-09-23,188.39,188.47,181.1,181.61,6782378,-0.032857599318351194
2020-09-24,180.17,184.9,179.6,182.19,7374516,0.0031936567369637014
2020-09-25,182.4,187.92,180.13,187.25,7606454,0.02777320379823256
2020-09-28,190.9996,192.47,188.09,192.02,7570637,0.025473965287049483
2020-09-29,192.64,195.78,191.11,194.5,6766102,0.012915321320695616
2020-09-30,194.06,198.72,193.311,197.03,7939637,0.013007712082262257
2020-10-01,199.26,201.27,196.2205,196.94,7268872,-0.00045678323098008455
2020-10-02,192.73,196.21,189.25,191.91,6546430,-0.025540773839748176
2020-10-05,193.55,196.91,192.16,196.85,5024054,0.025741232869574304
2020-10-06,196.13,197.37,190.88,191.66,5921767,-0.026365252730505495
2020-10-07,193.91,195.71,193.33,194.61,4228748,0.01539183971616409
2020-10-08,196.75,196.87,192.67,193.06,5582626,-0.007964647243204448
2020-10-09,194.36,197.35,192.6,197.27,7082372,0.021806692220035284
2020-10-12,199.87,204.08,196.6323,201.51,10572446,0.021493384701170903
2020-10-13,202.44,209.02,200.11,207.74,8145300,0.030916579822341417
2020-10-14,208.2035,208.948,200.5,203.6,8591824,-0.01992875710022146
2020-10-15,199.99,203.48,198.128,203.14,7630531,-0.0022593320235756442
2020-10-16,204.44,207.47,202.22,204.45,9663990,0.0064487545535099056
2020-10-19,205.52,207.23,199.1,200.06,6491682,-0.02147224260210312
2020-10-20,201.14,205.47,200.31,201.96,4867725,0.009497150854743674
2020-10-21,208.3,215.83,206.02,213.07,17247188,0.05501089324618724
2020-10-22,211.9,212.34,202.1403,203.93,12098290,-0.042896700614821315
2020-10-23,206.24,206.24,201.21,203.04,6644745,-0.004364242632275861
2020-10-26,200.66,203.89,195.05,197.22,7643148,-0.028664302600472813
2020-10-27,198.79,201.32,197.72,200.43,4754359,0.016276239732278652
2020-10-28,196.96,198.39,191.5,192.31,8050042,-0.04051289727086771
2020-10-29,194.08,197.59,192.31,195.04,7627102,0.014195829650044178
2020-10-30,193.29,195.33,182.92,186.13,12041236,-0.04568293683347002
2020-11-02,189.01,192.705,185.05,187.76,14376424,0.00875732015258146
2020-11-03,177.94,188.75,174.81,179.81,31655751,-0.04234128674904125
2020-11-04,186.76,195.0,184.1102,194.29,16106952,0.08052944775040305
2020-11-05,202.3,204.92,199.37,204.56,15188527,0.05285912810746818
2020-11-06,204.6,204.92,198.55,202.73,8075064,-0.008946030504497493
2020-11-09,195.74,196.07,184.44,184.72,18986391,-0.08883736990085334
2020-11-10,184.98,186.71,178.6,183.36,13144319,-0.007362494586400925
2020-11-11,187.4981,193.1,186.4,192.34,9151685,0.04897469458987769
2020-11-12,193.95,194.9,188.43,189.1,7103620,-0.01684517001143815
2020-11-13,191.1069,191.7299,186.85,188.62,6020699,-0.002538339502908493
2020-11-16,185.19,192.38,183.54,191.94,10127757,0.017601526879440055
2020-11-17,192.13,194.63,190.63,192.3,6448805,0.0018755861206627422
2020-11-18,192.59,192.95,189.54,190.12,8095357,-0.011336453458138385
2020-11-19,190.82,192.75,189.57,190.9,9391530,0.004102671996633722
2020-11-20,192.47,194.73,190.96,192.67,11518655,0.009271870089051726
2020-11-23,194.53,202.16,193.92,200.82,12019989,0.04230030622307579
2020-11-24,204.0,207.0791,198.86,206.0,14781555,0.025794243601235056
2020-11-25,206.29,216.07,206.23,214.46,13794973,0.04106796116504863
2020-11-27,213.2,213.84,208.62,211.39,5303151,-0.01431502378065852
2020-11-30,212.51,215.83,207.09,214.12,12976149,0.012914518189129254
2020-12-01,217.15,220.57,214.3401,216.54,10146956,0.011302073603586704
2020-12-02,215.6,215.75,210.5,212.56,7537366,-0.018379975985960972
2020-12-03,213.33,216.93,213.11,214.54,7645193,0.009315016936394471
2020-12-04,214.88,218.553,213.01,217.77,6214640,0.015055467511885912
2020-12-07,217.39,219.32,216.31,217.93,5363365,0.0007347201175551543
2020-12-08,216.325,218.72,215.57,216.94,5419592,-0.004542743082641243
2020-12-09,217.0,218.94,209.25,210.8,7807532,-0.028302756522540773
2020-12-10,208.36,216.23,206.65,215.34,6556822,0.02153700189753316
2020-12-11,213.39,215.0,210.4203,214.06,4283354,-0.005944088418315174
