Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,114.37,116.0,113.27,115.91,10235000,
2020-08-25,116.11,117.1,114.44,115.95,6208000,0.0003450953325856432
2020-08-26,116.25,116.55,115.17,116.04,7487404,0.0007761966364812078
2020-08-27,116.43,118.18,115.35,116.02,8206200,-0.00017235436056539655
2020-08-28,116.71,118.26,116.17,118.2,6280300,0.01878986381658332
2020-08-31,118.33,121.06,118.12,119.1,9694649,0.0076142131979695105
2020-09-01,121.08,122.57,119.51,122.01,9101301,0.024433249370277244
2020-09-02,123.26,123.93,121.81,123.18,9167700,0.009589377919842601
2020-09-03,121.3,121.71,115.6,116.43,13560803,-0.05479785679493421
2020-09-04,115.69,117.82,112.38,115.97,11064300,-0.003950871768444664
2020-09-08,111.94,113.88,109.62,109.77,10245200,-0.05346210226782788
2020-09-09,113.48,115.77,112.3,114.02,9708449,0.03871731802860534
2020-09-10,115.15,115.81,111.57,112.44,6166312,-0.01385721803192419
2020-09-11,113.38,114.85,112.4,113.42,6740200,0.008715759516186417
2020-09-14,115.24,115.43,112.65,113.46,5397303,0.0003526714865103031
2020-09-15,114.94,117.81,114.79,116.58,8773740,0.02749867794817562
2020-09-16,118.0,118.0,114.54,114.56,6342106,-0.01732715731686396
2020-09-17,111.92,115.7,111.0,114.88,7418146,0.0027932960893854997
2020-09-18,115.04,115.43,109.8,110.69,15443200,-0.03647284122562677
2020-09-21,109.16,112.14,108.3,111.92,8197611,0.011112114915529991
2020-09-22,112.61,114.25,110.42,113.82,6911200,0.016976411722658957
2020-09-23,113.64,113.93,110.07,110.57,6553322,-0.028553856967141078
2020-09-24,109.39,113.29,109.24,112.19,6849000,0.014651352084652292
2020-09-25,113.55,115.75,111.8,114.5,11718000,0.020590070416258044
2020-09-28,115.96,118.74,114.92,118.47,9043600,0.03467248908296949
2020-09-29,118.14,119.25,117.2,117.38,5687851,-0.009200641512619234
2020-09-30,117.5,119.26,116.92,117.68,5829731,0.002555801669790414
2020-10-01,119.93,120.21,117.7,119.52,5316800,0.015635622025832685
2020-10-02,116.78,118.66,115.43,115.47,5834337,-0.033885542168674676
2020-10-05,116.9,120.65,116.73,120.52,5835936,0.04373430328223771
2020-10-06,120.45,122.52,119.1,119.54,7637000,-0.008131430467972045
2020-10-07,121.24,123.36,120.65,123.03,7410347,0.029195248452400735
2020-10-08,124.0,124.43,121.84,122.34,4757536,-0.005608388198000469
2020-10-09,123.93,125.89,122.79,124.87,11073412,0.020680071930684996
2020-10-12,127.7,127.7,124.95,126.69,7893835,0.014575158164491064
2020-10-13,127.47,128.18,125.4,127.46,7605706,0.006077827768568911
2020-10-14,129.08,132.42,128.93,129.88,13183613,0.01898634865840254
2020-10-15,127.3,129.14,126.65,128.58,7377948,-0.010009239297813277
2020-10-16,129.7,130.19,127.74,129.03,6626992,0.0034997666822211837
2020-10-19,130.13,131.96,127.7,128.42,5765840,-0.00472758273269791
2020-10-20,129.18,129.33,127.51,128.3,4413343,-0.0009344338888022108
2020-10-21,128.04,130.42,126.37,128.55,4344000,0.0019485580670304259
2020-10-22,129.51,129.59,126.86,128.38,3897002,-0.0013224426293272362
2020-10-23,128.59,129.1,127.1,128.88,3943100,0.0038946876460508317
2020-10-26,127.53,128.67,124.4,126.2,6065923,-0.02079453755431404
2020-10-27,126.51,126.96,125.19,125.91,5825518,-0.002297939778129976
2020-10-28,123.5,123.82,121.05,121.58,8234821,-0.03438964339607653
2020-10-29,122.06,127.69,121.89,126.44,7053300,0.03997367988155953
2020-10-30,123.68,125.25,121.6,123.36,7814462,-0.024359379943056036
2020-11-02,124.5,126.17,122.41,123.97,5860300,0.004944876783398167
2020-11-03,125.44,126.92,124.69,125.45,5832837,0.011938372186819368
2020-11-04,129.32,129.57,126.07,128.97,12608904,0.028058987644479894
2020-11-05,145.82,148.8,141.83,145.41,27910900,0.127471505001163
2020-11-06,146.01,146.23,143.96,145.01,7278500,-0.0027508424454989466
2020-11-09,149.41,149.41,142.44,142.61,10666303,-0.016550582718433016
