Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,612.38,613.1,590.71,594.77,992208,
2020-08-25,596.51,615.0,594.74,610.5,734536,0.02644719807656748
2020-08-26,605.5,613.14,604.49,612.0,487985,0.002457002457002533
2020-08-27,614.67,619.52,610.23,614.97,534923,0.004852941176470615
2020-08-28,611.0,614.51,598.9,602.61,584543,-0.02009854139226308
2020-08-31,602.33,621.61,601.35,619.93,908313,0.028741640530359547
2020-09-01,615.63,620.0,589.3,592.68,1028641,-0.04395657574242251
2020-09-02,591.3,610.99,591.3,610.15,878140,0.02947627724910573
2020-09-03,610.4,610.42,575.1,577.4,841542,-0.05367532573957223
2020-09-04,575.0,584.0,564.5,580.36,715407,0.005126428818843065
2020-09-08,577.78,578.99,560.78,561.89,688659,-0.03182507409194302
2020-09-09,565.0,575.08,564.96,571.15,620544,0.01648009396857031
2020-09-10,566.64,572.8,548.24,550.1,879314,-0.036855467040182055
2020-09-11,551.79,561.33,540.0,544.75,814156,-0.009725504453735767
2020-09-14,554.41,566.51,550.65,564.2,762200,0.03570445158329516
2020-09-15,569.17,582.86,567.59,579.9,612668,0.027827011697979298
2020-09-16,584.12,586.44,568.0,569.15,804412,-0.018537678910156896
2020-09-17,557.19,569.37,557.19,565.0,686500,-0.00729157515593426
2020-09-18,567.48,567.83,544.96,555.24,1977113,-0.017274336283185865
2020-09-21,551.14,556.46,542.16,555.7,682596,0.0008284705712846563
2020-09-22,552.36,573.45,552.36,571.51,580537,0.02845060284326073
2020-09-23,572.37,578.16,562.49,565.19,535661,-0.011058424174555048
2020-09-24,561.0,564.99,554.7,557.46,457917,-0.013676816645729839
2020-09-25,555.4,575.92,551.0,574.06,643630,0.02977792128583201
2020-09-28,572.83,574.62,559.06,571.92,637089,-0.003727833327526686
2020-09-29,573.2,576.0,567.92,573.61,501968,0.0029549587354875673
2020-09-30,589.77,589.77,554.0,559.78,2159300,-0.024110458325343087
2020-10-01,562.5,568.38,552.27,568.14,1092760,0.014934438529422334
2020-10-02,562.0,576.0,554.04,564.8,1235110,-0.005878832682085444
2020-10-05,598.9,619.97,591.15,605.08,4843300,0.07131728045325803
2020-10-06,605.32,610.38,579.02,581.64,1725300,-0.03873867918291807
2020-10-07,588.49,593.88,581.65,591.69,957200,0.017278729110790314
2020-10-08,614.65,615.0,598.1,599.88,2355600,0.013841707650965818
2020-10-09,601.0,604.44,593.51,602.07,1190123,0.003650730146029346
2020-10-12,602.25,605.39,590.85,601.55,1003200,-0.0008636869467006925
