Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,434.53,434.9,429.25,431.99,640830,
2020-08-24,433.65,436.93,429.39,432.17,301800,0.0004166763119517469
2020-08-25,433.82,437.26,431.27,431.27,333600,-0.002082513825578003
2020-08-26,429.35,433.02,427.58,432.44,387634,0.0027129176617897155
2020-08-27,433.45,433.55,427.46,428.06,361104,-0.010128572749976916
2020-08-28,428.54,430.5,425.98,430.18,257300,0.004952576741578341
2020-08-31,428.15,429.44,425.37,427.19,373900,-0.006950578827467635
2020-09-01,429.3,437.68,427.42,436.41,316237,0.02158290222149395
2020-09-02,436.88,445.85,434.59,443.87,518100,0.017094017094017033
2020-09-03,443.98,444.48,426.98,429.97,404316,-0.031315475251762814
2020-09-04,433.58,434.02,416.8,422.53,446200,-0.017303532804614385
2020-09-08,401.54,406.34,390.01,393.95,1227031,-0.06764016756206659
2020-09-09,399.28,404.08,394.38,399.9,517117,0.015103439522782036
2020-09-10,401.58,406.21,394.47,395.8,444225,-0.010252563140785154
2020-09-11,400.0,403.7,393.21,399.6,561214,0.009600808489135915
2020-09-14,403.52,406.1,395.78,396.26,587250,-0.008358358358358409
2020-09-15,399.19,407.86,397.03,403.89,626137,0.019255034573260055
2020-09-16,408.09,409.79,398.77,400.43,471000,-0.008566688949961598
2020-09-17,395.29,399.82,392.32,398.8,567220,-0.0040706240791149595
2020-09-18,397.08,399.76,390.15,391.37,753200,-0.018630892678034083
2020-09-21,387.5,393.38,383.73,392.25,542833,0.002248511638602846
2020-09-22,391.62,394.86,387.63,392.73,511400,0.001223709369024828
2020-09-23,395.6,398.78,385.36,386.45,481404,-0.01599062969470122
2020-09-24,384.48,393.76,380.07,391.21,378608,0.01231724673308321
2020-09-25,388.62,401.71,388.28,398.12,384600,0.017663147670049506
2020-09-28,400.52,404.17,399.41,400.6,524100,0.006229277604742345
2020-09-29,401.62,404.29,398.2,401.36,357579,0.0018971542685970455
2020-09-30,403.43,404.71,391.16,395.11,669400,-0.015572055012955999
2020-10-01,398.13,401.69,390.56,393.48,472727,-0.004125433423603497
2020-10-02,390.03,398.69,389.73,395.72,425900,0.00569279251804411
2020-10-05,399.39,401.62,397.06,401.2,307800,0.013848175477610303
2020-10-06,401.2,407.0,398.8,399.9,411111,-0.0032402791625124605
2020-10-07,402.12,407.8,402.12,405.0,439347,0.012753188297074391
2020-10-08,407.65,407.71,401.96,403.67,367833,-0.003283950617283926
2020-10-09,406.57,417.87,405.23,414.39,419743,0.02655634552976438
2020-10-12,417.41,429.48,416.0,421.86,626728,0.018026496778397183
2020-10-13,421.56,426.35,420.13,423.76,464941,0.004503863841084588
2020-10-14,426.36,430.31,424.58,427.21,551635,0.00814140079290171
2020-10-15,424.07,431.92,424.02,430.45,556202,0.007584092132674858
2020-10-16,431.52,438.32,430.94,433.89,788800,0.00799163665931002
2020-10-19,432.17,435.31,422.09,424.9,414214,-0.020719537209891947
2020-10-20,426.16,427.79,420.85,422.87,442400,-0.004777594728171297
2020-10-21,422.66,426.29,421.06,421.46,362000,-0.0033343580769503722
2020-10-22,421.73,429.4,421.48,427.52,408600,0.01437858871541775
2020-10-23,431.06,432.74,425.16,428.6,270400,0.0025261976047905588
2020-10-26,424.63,426.82,414.02,417.89,473000,-0.024988334111059385
2020-10-27,405.0,405.74,390.0,394.6,1415044,-0.05573236976237761
2020-10-28,387.75,388.98,365.5,367.5,1514600,-0.06867714140902181
2020-10-29,366.57,375.96,366.57,370.81,936400,0.009006802721088336
2020-10-30,369.36,373.33,362.9,371.34,490539,0.0014293034168442187
2020-11-02,377.72,381.92,375.53,380.94,752700,0.025852318629827176
2020-11-03,385.73,390.68,380.55,383.35,623460,0.006326455609807491
2020-11-04,386.87,397.55,381.27,388.75,733617,0.014086344071996715
2020-11-05,398.41,398.41,385.62,386.0,689600,-0.0070739549839228255
2020-11-06,385.24,391.6,384.16,388.42,646100,0.006269430051813574
2020-11-09,410.91,417.25,389.84,390.21,1047583,0.0046084135729365094
2020-11-10,390.25,401.37,390.25,400.98,676903,0.027600522795417914
2020-11-11,403.88,406.83,399.45,401.35,545100,0.0009227392887425356
2020-11-12,399.66,402.18,386.19,390.65,584400,-0.026660022424318086
2020-11-13,393.3,397.68,390.1,396.39,546027,0.01469345961858437
2020-11-16,399.0,409.01,396.42,407.87,580537,0.028961376422210527
2020-11-17,402.93,410.79,401.3,405.65,584405,-0.005442910731360495
2020-11-18,405.27,410.39,400.44,408.37,585536,0.006705287809688265
2020-11-19,407.0,411.12,406.27,409.48,441527,0.0027181232705635328
2020-11-20,409.89,411.0,403.54,405.26,679500,-0.010305753638761406
2020-11-23,408.83,409.83,403.42,405.72,463700,0.0011350737797957144
2020-11-24,409.89,419.85,405.93,418.53,484604,0.031573498964803104
2020-11-25,420.15,421.47,416.92,418.47,274906,-0.0001433588990035206
2020-11-27,420.45,421.21,416.29,418.8,257522,0.0007885869954835645
2020-11-30,418.0,427.4,418.0,427.0,704400,0.019579751671442214
2020-12-01,429.67,433.09,422.21,424.0,564600,-0.007025761124121788
2020-12-02,423.82,423.82,415.91,418.01,351236,-0.014127358490566011
2020-12-03,416.21,418.86,408.14,409.21,609843,-0.021052127939523047
2020-12-04,409.82,417.95,409.82,417.95,529803,0.021358226827301374
2020-12-07,418.37,421.19,413.44,418.98,368000,0.0024644096183754627
2020-12-08,416.23,423.14,416.23,419.14,357300,0.0003818798033319304
2020-12-09,418.8,421.31,413.86,419.54,388810,0.0009543350670420114
2020-12-10,420.09,420.09,412.31,415.0,440400,-0.010821375792534726
2020-12-11,412.83,421.22,412.83,420.45,335200,0.013132530120481878
2020-12-14,422.59,433.02,422.59,422.89,460600,0.005803305981686213
2020-12-15,424.76,431.43,423.95,425.96,475503,0.007259571046844382
2020-12-16,425.1,427.31,420.48,420.85,367027,-0.011996431589820555
2020-12-17,422.0,425.35,420.61,425.04,486519,0.009956041344897137
2020-12-18,425.45,430.84,421.89,426.19,1038622,0.0027056277056276556
2020-12-21,419.25,422.74,410.36,422.38,547900,-0.008939674792932784
2020-12-22,418.42,419.08,410.99,412.92,565075,-0.022396893792319683
2020-12-23,416.42,424.01,415.66,419.46,478200,0.01583841906422534
2020-12-24,419.84,423.67,416.28,420.12,119734,0.0015734515806036242
2020-12-28,422.52,424.31,416.45,423.15,287931,0.007212225078548906
2020-12-29,426.7,427.39,416.64,419.6,269500,-0.00838946000236307
2020-12-30,420.66,423.5,420.41,421.82,190000,0.005290753098188716
2020-12-31,422.52,431.95,420.14,431.09,330200,0.021976198378455214
2021-01-04,429.92,430.98,414.71,419.55,437100,-0.026769352107448463
2021-01-05,419.98,424.13,414.15,419.18,514923,-0.0008818972708855011
2021-01-06,418.53,426.81,418.04,423.4,711700,0.010067274202013365
2021-01-07,423.46,432.09,422.78,430.58,441030,0.01695795937647615
2021-01-08,431.6,432.93,426.13,431.1,310537,0.001207673370802187
2021-01-11,426.82,438.79,425.8,438.53,697436,0.01723498028299697
2021-01-12,437.39,439.58,427.67,429.99,542000,-0.019474152281485746
2021-01-13,429.13,429.13,412.75,413.15,703736,-0.03916370148142989
2021-01-14,414.03,414.77,405.66,407.41,683102,-0.013893259106861788
2021-01-15,406.49,414.37,402.22,411.62,1019200,0.010333570604550646
2021-01-19,416.0,421.18,412.28,414.43,497266,0.0068266848063747165
2021-01-20,417.75,423.52,415.27,420.52,420637,0.014694882127259001
2021-01-21,420.75,423.86,418.57,421.41,359820,0.0021164272805098694
2021-01-22,421.68,421.68,412.49,419.22,412532,-0.005196839182743607
2021-01-25,420.43,426.47,417.96,419.11,408215,-0.0002623920614475139
2021-01-26,420.87,422.06,413.9,417.31,322645,-0.00429481520364583
2021-01-27,414.05,421.33,409.83,420.0,588601,0.006446047302964164
2021-01-28,421.53,429.57,421.53,422.83,618517,0.006738095238095099
2021-01-29,420.0,425.58,392.56,392.91,1192739,-0.07076129886715687
2021-02-01,395.86,403.06,389.35,391.36,817441,-0.003944923773892217
2021-02-02,393.47,402.08,391.12,398.0,888808,0.01696647587898603
2021-02-03,395.79,403.5,394.08,401.69,619235,0.009271356783919549
2021-02-04,403.48,406.0,400.98,403.75,437800,0.005128332793945534
2021-02-05,406.6,411.69,404.25,404.95,494500,0.00297213622291026
2021-02-08,405.69,409.14,403.21,407.16,378905,0.005457463884430247
2021-02-09,407.34,409.38,402.23,403.73,677104,-0.008424206700068826
2021-02-10,407.55,407.55,400.63,401.85,742100,-0.00465657741559955
2021-02-11,402.77,404.65,397.76,400.01,341032,-0.004578822943884564
2021-02-12,397.51,402.09,395.0,396.02,716200,-0.009974750631234208
2021-02-16,397.98,398.15,383.61,383.8,774700,-0.03085702742285734
2021-02-17,383.8,388.18,376.94,387.12,1517142,0.008650338718082295
2021-02-18,385.85,396.35,384.56,395.55,574100,0.021776193428394208
2021-02-19,395.55,396.79,386.77,388.91,736028,-0.016786752622930057
2021-02-22,386.93,390.15,382.56,383.92,813415,-0.012830732045974624
2021-02-23,386.11,391.87,377.19,387.84,1053100,0.010210460512606767
2021-02-24,387.07,388.35,373.25,378.82,1298500,-0.02325701320132012
2021-02-25,377.94,381.24,373.32,379.11,747427,0.0007655350826250018
2021-02-26,381.8,385.52,377.62,377.62,531700,-0.003930257708844476
2021-03-01,379.73,388.23,379.73,384.92,820676,0.019331603198983194
2021-03-02,387.02,387.38,378.04,381.09,502900,-0.009950119505351851
2021-03-03,379.78,386.0,378.7,380.59,796545,-0.001312026030596436
2021-03-04,379.89,380.46,365.23,371.89,619100,-0.022859244856669902
2021-03-05,374.84,378.67,367.2,376.94,637100,0.013579284196939989
2021-03-08,378.34,391.03,375.92,385.38,909100,0.022390831432058222
2021-03-09,386.24,396.06,386.24,389.67,731500,0.011131869842752717
2021-03-10,391.58,391.7,384.33,386.06,556914,-0.009264249236533462
2021-03-11,386.36,391.24,384.04,387.44,395300,0.0035745739004300336
2021-03-12,389.32,390.5,384.77,386.37,493143,-0.002761717943423503
2021-03-15,387.12,394.18,385.53,390.86,543000,0.011620985066128409
2021-03-16,390.98,392.48,385.02,387.98,574900,-0.0073683671902983194
2021-03-17,392.5,399.28,389.79,393.55,671501,0.014356410124233276
2021-03-18,399.16,407.99,397.45,401.27,794816,0.019616313047897238
2021-03-19,400.72,402.33,394.57,395.0,1157860,-0.015625389388690847
2021-03-22,393.39,403.57,391.02,401.29,488300,0.01592405063291147
2021-03-23,398.5,406.75,398.5,404.66,547400,0.008397916718582588
2021-03-24,404.01,410.24,403.65,406.28,690700,0.004003360846142279
2021-03-25,406.21,406.25,397.88,403.35,631100,-0.007211775130451792
2021-03-26,404.2,410.57,401.79,410.36,448031,0.017379447130283943
2021-03-29,407.7,409.81,401.77,408.35,430546,-0.004898138220099435
2021-03-30,408.0,408.39,401.88,403.01,347130,-0.013077017264601531
2021-03-31,404.69,407.09,401.71,403.34,609920,0.0008188382422271712
2021-04-01,405.33,411.53,403.55,410.35,421804,0.017379878018545236
2021-04-05,412.2,416.99,412.2,414.84,249446,0.010941878883879541
2021-04-06,417.04,420.34,414.19,415.64,479200,0.0019284543438433666
2021-04-07,414.08,418.52,414.08,414.74,329000,-0.0021653353863919644
2021-04-08,417.44,422.04,416.97,418.2,381732,0.008342576071755703
2021-04-09,420.0,422.99,418.47,421.58,339400,0.008082257293161144
2021-04-12,420.54,425.8,420.54,425.65,436900,0.009654158166895854
2021-04-13,425.54,425.54,420.57,421.62,285212,-0.00946787266533533
2021-04-14,421.55,425.51,418.12,419.0,358840,-0.006214126464588965
2021-04-15,421.16,425.0,420.17,424.95,359400,0.014200477326969052
2021-04-16,428.56,428.56,420.19,423.29,477236,-0.003906341922579104
2021-04-19,424.3,426.64,421.28,425.46,533700,0.005126509012733482
2021-04-20,424.15,427.96,421.75,426.55,368700,0.0025619329666715096
2021-04-21,427.01,432.6,425.4,429.65,387024,0.007267612237721099
2021-04-22,429.49,434.73,428.28,431.13,447400,0.003444664261608388
2021-04-23,432.59,435.9,429.97,434.22,346647,0.0071672117458772
2021-04-26,433.48,437.9,431.42,432.37,402405,-0.004260513103956587
2021-04-27,432.15,447.94,430.07,445.86,792200,0.031200129518699216
2021-04-28,447.14,447.84,439.04,442.34,332200,-0.007894854887184444
2021-04-29,442.93,448.38,441.31,445.85,297644,0.007935072568612478
2021-04-30,445.91,447.58,443.38,446.44,514500,0.0013233150162610396
