Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,166.57,167.71,164.29,166.64,1321148,
2020-08-24,167.32,170.45,166.81,168.93,1802670,0.013742198751800494
2020-08-25,168.4,172.62,167.14,172.59,1182570,0.021665778724915707
2020-08-26,175.01,184.88,174.505,182.95,2365818,0.060026652760878374
2020-08-27,181.69,188.495,180.295,188.31,2037489,0.029297622301175164
2020-08-28,188.66,193.3008,188.32,192.43,1650613,0.02187881684456494
2020-08-31,190.25,193.08,188.22,191.76,1713420,-0.003481785584368402
2020-09-01,192.61,199.4999,192.61,196.41,1258299,0.024249061326658383
2020-09-02,197.99,199.46,190.2,192.07,2063859,-0.022096634590906827
2020-09-03,188.94,188.94,178.29,181.78,2023481,-0.0535742177331181
2020-09-04,180.63,182.22,170.5,175.54,1561899,-0.03432720871382999
2020-09-08,170.0,173.1,167.72,168.92,2338709,-0.03771220234704342
2020-09-09,172.52,173.47,168.26,171.37,1134387,0.014503907174994168
2020-09-10,173.1564,175.25,168.13,169.72,1164585,-0.00962828966563578
2020-09-11,172.17,172.75,164.87,167.63,1121430,-0.012314400188545904
2020-09-14,169.1366,171.75,168.38,168.84,941882,0.007218278351130536
2020-09-15,170.63,172.62,168.6139,171.02,875808,0.01291163231461745
2020-09-16,172.61,173.57,170.0,171.17,1437704,0.0008770903987835865
2020-09-17,167.94,169.925,164.16,168.25,1110721,-0.01705906408833313
2020-09-18,169.3,172.16,167.57,171.14,1162645,0.017176820208023802
2020-09-21,168.91,178.1,168.5937,177.4,846859,0.0365782400373964
2020-09-22,178.32,180.73,173.72,180.26,781646,0.016121758737316805
2020-09-23,180.42,183.3299,175.91,176.88,731430,-0.018750693442804778
2020-09-24,178.13,178.605,172.8,175.78,1568477,-0.006218905472636815
2020-09-25,176.0,181.96,175.78,181.29,690453,0.03134600068267157
2020-09-28,182.02,184.035,178.7,181.0,2155896,-0.0015996469744608
2020-09-29,181.63,183.38,179.54,182.35,915961,0.0074585635359116775
2020-09-30,180.54,185.15,179.21,181.79,2677232,-0.003071017274472232
2020-10-01,183.22,188.0601,180.57,186.01,984929,0.023213598107706623
2020-10-02,182.31,189.0,182.31,184.79,1706205,-0.0065587871619805505
2020-10-05,186.0,191.63,185.27,186.85,1426635,0.011147789382542461
2020-10-06,186.79,194.61,186.59,189.88,1380960,0.016216216216216273
2020-10-07,191.21,195.5,190.055,193.04,855221,0.016642089740888988
2020-10-08,194.52,194.754,188.25,188.78,1223370,-0.02206796518856191
2020-10-09,190.35,199.87,190.0,198.85,1332209,0.053342515096938214
2020-10-12,199.95,199.95,192.21,194.27,2063731,-0.02303243650993203
2020-10-13,195.11,196.64,192.6,192.99,1611407,-0.0065887682091934074
2020-10-14,194.9,194.9,188.61,191.81,1801803,-0.006114306440748285
2020-10-15,188.08,191.17,185.16,190.925,2190938,-0.004613940878994804
2020-10-16,191.9,212.97,191.0,207.45,5155744,0.08655231111693062
2020-10-19,208.4524,215.84,205.8,212.94,3591583,0.02646420824295026
2020-10-20,213.73,216.295,210.2,210.97,2087518,-0.009251432328355347
2020-10-21,210.03,213.21,205.14,206.99,1788614,-0.018865241503531305
2020-10-22,207.57,209.8,202.19,203.08,1995207,-0.018889801439683107
2020-10-23,204.06,208.57,201.44,208.49,1116010,0.026639747882607923
2020-10-26,207.5,210.27,203.61,207.2,709110,-0.006187347114969599
2020-10-27,209.43,213.3,208.005,213.01,1095950,0.028040540540540615
2020-10-28,209.33,211.51,206.79,208.86,1835488,-0.019482653396554084
2020-10-29,210.91,212.67,208.69,210.72,1822681,0.00890548692904325
2020-10-30,199.0,199.99,187.25,191.62,5591655,-0.09064160971905844
2020-11-02,191.62,192.41,180.88,184.29,3096258,-0.03825279198413534
2020-11-03,183.85,185.81,180.11,182.06,2062919,-0.012100493786966093
2020-11-04,189.78,193.95,188.55,188.82,1969691,0.037130616280347084
2020-11-05,195.0,203.18,193.535,199.99,2236703,0.05915686897574424
2020-11-06,200.1,201.28,194.895,198.18,1134215,-0.009050452522626151
2020-11-09,194.64,199.16,187.4,187.52,1625056,-0.053789484307195434
2020-11-10,185.4068,186.99,176.42,185.66,2110530,-0.009918941979522256
2020-11-11,188.47,196.19,187.625,191.76,1722443,0.032855757836906196
2020-11-12,192.59,195.91,191.68,193.0,1219328,0.006466416353775539
2020-11-13,194.48,194.82,184.905,192.82,1795237,-0.0009326424870467198
2020-11-16,191.52,194.9,187.71,189.46,2207769,-0.017425578259516517
2020-11-17,192.06,198.28,190.98,196.52,1800579,0.03726380238572791
2020-11-18,201.28,203.0,191.18,193.7,3090941,-0.014349684510482463
2020-11-19,194.32,202.0,193.34,199.45,2742541,0.02968508002065051
2020-11-20,199.22,211.55,198.94,208.43,2743306,0.04502381549260481
2020-11-23,209.49,212.06,205.67,211.05,2872832,0.012570167442306879
2020-11-24,210.0,214.34,210.0,213.5,1607809,0.011608623548921893
2020-11-25,211.3,217.54,211.3,216.35,1666226,0.013348946135831374
2020-11-27,216.07,224.0,216.07,224.0,850157,0.035359371388953065
2020-11-30,224.0,228.97,219.66,225.05,1504956,0.004687499999999956
2020-12-01,226.0,226.0,220.71,224.06,1330190,-0.004399022439457889
2020-12-02,220.71,228.28,218.9,227.99,1453085,0.01753994465768094
2020-12-03,228.1,234.44,225.95,226.19,2013148,-0.007895083117680612
2020-12-04,227.11,229.58,224.68,225.01,1269513,-0.005216853088111817
2020-12-07,224.11,228.86,223.76,227.76,1285348,0.012221679036487298
2020-12-08,227.76,235.17,227.76,229.84,1106936,0.009132420091324311
2020-12-09,228.94,229.97,220.36,223.54,1435499,-0.027410372432996932
2020-12-10,222.6183,228.41,220.45,227.19,735836,0.016328173928603418
2020-12-11,229.11,232.24,224.72,232.01,1252083,0.021215722522998304
2020-12-14,233.77,240.7,233.4308,234.74,2016668,0.011766734192491857
2020-12-15,234.83,238.1599,229.44,237.7,1714754,0.012609695833688317
2020-12-16,237.63,245.28,236.62,243.85,2730173,0.025872949095498532
2020-12-17,246.44,250.03,245.79,248.05,1123842,0.01722370309616572
2020-12-18,248.67,249.99,244.62,247.78,5198449,-0.001088490223745242
2020-12-21,246.69,249.3,241.1505,248.19,1424483,0.0016546936798773615
