Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,80.34,80.41,79.64,80.24,281558,
2020-08-25,80.21,80.26,79.17,79.23,339800,-0.012587238285144409
2020-08-26,79.45,80.09,79.02,80.05,504024,0.010349615044806137
2020-08-27,80.12,80.57,79.75,80.19,336729,0.0017489069331668716
2020-08-28,80.2,80.2,79.48,79.95,264868,-0.002992891881780757
2020-08-31,80.0,80.1,79.23,79.23,322659,-0.009005628517823605
2020-09-01,79.35,80.85,78.91,80.66,387256,0.018048718919601026
2020-09-02,80.98,82.28,80.9,82.15,340576,0.018472601041408465
2020-09-03,81.97,81.97,79.85,80.19,485131,-0.02385879488740117
2020-09-04,80.37,80.61,78.35,78.81,444150,-0.017209128320239353
2020-09-08,78.16,78.76,77.62,78.14,436041,-0.00850145920568457
2020-09-09,78.75,80.26,78.32,79.83,385825,0.02162784745328894
2020-09-10,79.94,80.09,78.46,78.61,361812,-0.01528247525992732
2020-09-11,79.0,79.68,78.82,79.37,258549,0.009667981172878815
2020-09-14,79.86,80.68,79.56,80.52,335845,0.014489101675696059
2020-09-15,80.9,82.09,80.9,81.44,460578,0.01142573273720826
2020-09-16,81.84,82.43,80.59,80.64,221844,-0.00982318271119842
2020-09-17,79.71,80.46,79.59,80.23,283707,-0.005084325396825351
2020-09-18,80.3,81.0,79.86,80.38,363816,0.0018696248286176331
2020-09-21,79.71,79.94,79.02,79.89,364167,-0.006096043791988026
2020-09-22,80.11,81.19,79.99,81.08,276098,0.014895481286769208
2020-09-23,81.2,81.73,80.39,80.42,433146,-0.008140108534780421
2020-09-24,79.98,80.44,79.69,80.37,491901,-0.0006217358865953093
2020-09-25,80.47,81.75,80.08,81.57,283301,0.014930944382232081
2020-09-28,82.28,83.17,82.08,83.15,525218,0.01936986637244109
2020-09-29,82.99,83.59,82.61,82.87,432601,-0.0033674082982562137
2020-09-30,82.8,83.44,82.41,82.75,488030,-0.0014480511644745508
2020-10-01,83.17,83.95,82.89,83.55,400017,0.00966767371601196
2020-10-02,83.06,83.67,82.29,83.12,400214,-0.005146618791142976
2020-10-05,83.36,84.23,83.22,84.13,212049,0.01215110683349363
2020-10-06,84.19,84.37,83.29,83.42,221809,-0.008439320099845382
2020-10-07,83.91,84.25,83.48,84.23,235898,0.00970990170222974
2020-10-08,84.49,84.8,84.34,84.68,441599,0.005342514543511756
2020-10-09,85.06,85.79,84.81,85.44,405682,0.008974964572508126
2020-10-12,85.92,86.59,85.53,86.12,164795,0.007958801498127333
2020-10-13,86.3,86.38,85.76,86.02,278475,-0.0011611704598235573
2020-10-14,86.05,86.49,85.4,85.77,230141,-0.0029063008602651097
2020-10-15,85.27,86.24,85.0,85.99,299011,0.002564999417045577
2020-10-16,86.17,86.88,85.84,85.86,248189,-0.0015118036981043304
2020-10-19,86.21,86.28,84.91,84.99,455535,-0.010132774283717727
2020-10-20,85.48,85.91,84.91,85.44,272498,0.005294740557712618
2020-10-21,85.6,86.34,85.36,85.36,265231,-0.000936329588014928
2020-10-22,85.24,85.86,84.89,84.98,399724,-0.004451733833177096
2020-10-23,85.14,85.34,83.99,85.01,262700,0.0003530242409979234
2020-10-26,84.33,84.59,83.27,84.02,234597,-0.011645688742500937
2020-10-27,83.97,84.68,83.24,83.4,325868,-0.00737919542965948
2020-10-28,82.16,82.57,80.9,81.0,499327,-0.02877697841726623
2020-10-29,81.1,81.49,80.57,80.81,240445,-0.002345679012345614
2020-10-30,80.43,81.31,79.98,80.76,353431,-0.0006187353050364219
2020-11-02,81.54,82.74,81.39,81.97,527953,0.014982664685487812
2020-11-03,83.67,86.09,83.5,85.43,744160,0.04221056484079555
2020-11-04,86.2,88.27,85.85,87.2,485032,0.020718717078309634
2020-11-05,88.33,89.18,87.86,89.01,472265,0.020756880733944882
2020-11-06,89.12,90.37,88.88,90.18,305652,0.013144590495449915
2020-11-09,92.9,92.9,87.39,87.42,546342,-0.030605455755156386
2020-11-10,87.35,87.56,85.9,86.45,449913,-0.011095859071150738
2020-11-11,87.36,88.18,86.81,87.74,755123,0.014921920185078097
2020-11-12,87.99,88.12,85.83,86.45,395174,-0.014702530202872044
2020-11-13,86.46,86.86,85.86,86.22,297128,-0.002660497397339534
2020-11-16,85.97,86.33,84.43,85.07,460646,-0.01333797262816061
2020-11-17,85.38,85.38,83.88,83.91,389890,-0.013635829317033
2020-11-18,83.71,83.71,82.46,83.32,495771,-0.007031343105708521
2020-11-19,83.43,83.76,82.36,83.71,246742,0.004680748919827282
2020-11-20,84.06,84.06,83.02,83.74,311584,0.0003583801218491889
2020-11-23,83.82,84.18,83.05,83.11,334960,-0.00752328636255073
2020-11-24,83.56,83.69,82.31,82.47,343244,-0.007700637709060265
2020-11-25,82.91,83.22,82.28,82.99,485085,0.0063053231478111815
2020-11-27,83.1,83.1,82.2,82.85,157461,-0.001686950234968121
2020-11-30,83.21,83.3,82.09,82.3,366088,-0.006638503319251643
2020-12-01,82.91,82.94,82.22,82.73,357038,0.005224787363305117
2020-12-02,82.73,83.56,82.22,83.07,554866,0.004109754623473849
2020-12-03,82.78,83.59,82.78,83.43,249025,0.004333694474539795
2020-12-04,83.74,84.8,83.57,84.54,284820,0.013304566702625031
2020-12-07,84.11,84.28,83.58,83.88,370637,-0.007806955287438022
2020-12-08,83.69,84.18,83.3,83.59,405274,-0.003457319980925022
2020-12-09,83.61,84.02,83.31,83.76,299015,0.002033736092834193
2020-12-10,83.9,83.9,83.0,83.42,235954,-0.004059216809933153
2020-12-11,83.06,84.03,82.8,83.9,193926,0.005754015823543623
2020-12-14,83.78,84.42,83.3,83.41,268810,-0.005840286054827337
2020-12-15,83.56,84.26,83.46,83.96,241339,0.006593933581105382
2020-12-16,84.46,84.55,82.79,83.22,269578,-0.008813720819437765
2020-12-17,83.54,84.86,83.1,83.6,244455,0.004566210045662045
2020-12-18,83.71,83.98,83.0,83.86,206744,0.0031100478468899517
2020-12-21,83.01,83.36,81.65,83.04,332254,-0.009778201764846117
2020-12-22,82.44,83.26,82.44,82.5,239553,-0.006502890173410436
2020-12-23,82.92,83.42,82.75,82.88,305182,0.0046060606060605025
2020-12-24,82.98,83.64,82.44,83.61,85743,0.008807915057915006
2020-12-28,83.89,84.18,83.69,84.12,162401,0.006099748833871654
2020-12-29,84.6,85.07,84.23,84.65,292203,0.006300523062291896
2020-12-30,85.0,85.37,84.75,85.08,297455,0.005079740106320063
2020-12-31,85.0,85.41,84.8,84.95,370374,-0.001527973671838212
2021-01-04,85.06,85.63,83.48,83.92,631027,-0.012124779281930564
2021-01-05,83.58,85.41,83.58,85.14,476704,0.014537654909437592
2021-01-06,84.83,85.25,83.66,84.16,799455,-0.011510453370918494
2021-01-07,83.69,84.39,82.92,83.64,725198,-0.0061787072243345564
2021-01-08,83.81,84.14,82.95,83.63,393067,-0.00011956001912971637
2021-01-11,83.26,83.52,82.6,82.66,241924,-0.011598708597393315
2021-01-12,82.61,82.61,81.63,82.17,222692,-0.005927897411081462
2021-01-13,82.1,82.79,81.53,82.42,455468,0.003042472921990891
2021-01-14,82.08,82.58,81.35,81.48,469388,-0.011404998786702203
2021-01-15,81.1,83.59,80.96,83.5,622113,0.024791359842906147
2021-01-19,83.47,84.26,82.83,83.5,444299,0.0
2021-01-20,83.77,85.39,83.67,85.17,288822,0.020000000000000018
2021-01-21,84.96,85.13,84.23,84.56,269268,-0.007162146295644045
2021-01-22,84.46,85.07,84.15,84.55,314323,-0.00011825922421959678
2021-01-25,84.79,86.37,84.56,86.21,543308,0.01963335304553504
2021-01-26,86.11,86.27,85.1,85.78,290151,-0.00498782043846413
2021-01-27,85.05,85.18,82.93,83.06,548251,-0.0317090230823035
2021-01-28,83.26,85.61,83.19,84.98,377378,0.02311581988923672
2021-01-29,84.7,85.27,83.83,84.6,560977,-0.004471640385973252
2021-02-01,85.96,87.3,85.43,86.62,432754,0.02387706855791971
2021-02-02,87.19,88.4,87.01,87.9,471033,0.014777187716462636
2021-02-03,87.46,87.84,86.63,87.68,266017,-0.0025028441410693825
2021-02-04,87.39,87.83,86.85,87.04,564351,-0.007299270072992692
2021-02-05,87.2,87.69,86.88,87.36,408525,0.003676470588235281
2021-02-08,87.61,87.84,86.28,86.62,506763,-0.00847069597069594
