Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,46.77,47.47,46.33,46.67,8367000,
2020-08-25,46.35,47.08,45.92,46.99,5994000,0.00685665309620731
2020-08-26,47.35,49.1,47.35,48.1,9380000,0.023622047244094446
2020-08-27,47.99,48.49,46.55,47.41,8800000,-0.01434511434511443
2020-08-28,47.61,49.47,47.46,48.57,9950000,0.024467411938409622
2020-08-31,48.62,49.03,47.53,48.13,6211000,-0.009059089973234458
2020-09-01,48.67,50.22,48.4,50.14,8185000,0.041761894868065585
2020-09-02,51.21,51.52,47.85,51.5,17285000,0.027124052652572894
2020-09-03,49.55,50.02,45.8,46.47,15207000,-0.09766990291262134
2020-09-04,45.62,46.76,41.12,44.13,23417000,-0.05035506778566812
2020-09-08,41.7,43.98,41.2,42.01,9198000,-0.04803988216632682
2020-09-09,43.41,43.97,42.31,43.3,9473000,0.03070697452987381
2020-09-10,44.1,45.37,42.51,42.71,8801000,-0.013625866050808177
2020-09-11,43.22,43.59,40.85,41.86,7193000,-0.019901662374151252
2020-09-14,42.65,43.25,42.04,42.75,5656000,0.021261347348303872
2020-09-15,44.21,44.9,43.44,44.53,8201000,0.041637426900584806
2020-09-16,44.45,45.75,44.04,44.13,11311000,-0.008982708286548347
2020-09-17,42.3,42.95,41.31,42.88,14576000,-0.02832540222071156
2020-09-18,43.42,43.82,42.39,43.58,13714000,0.0163246268656716
2020-09-21,42.35,46.25,42.3,46.15,13347000,0.058972005507113456
2020-09-22,46.7,46.88,45.02,46.77,9679000,0.013434452871072589
2020-09-23,46.54,47.25,45.57,45.73,6858000,-0.02223647637374393
2020-09-24,44.96,46.02,43.72,45.32,8627000,-0.008965668051607145
2020-09-25,45.58,47.62,44.83,47.32,7129000,0.04413062665489842
2020-09-28,48.0,48.87,47.7,48.76,5780000,0.030431107354184306
2020-09-29,48.85,50.67,48.84,49.83,12273000,0.021944216570959796
2020-09-30,49.66,52.04,49.5,51.88,10812000,0.04113987557696186
2020-10-01,53.0,55.67,52.6,55.52,16664000,0.07016191210485734
2020-10-02,53.6,56.99,53.23,55.65,13515000,0.002341498559077726
2020-10-05,56.66,57.55,56.23,57.39,7731000,0.03126684636118604
2020-10-06,57.3,59.75,57.28,58.53,11523000,0.01986408782017768
2020-10-07,59.5,60.84,58.63,59.34,12044000,0.013839056893900636
