Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,140.86,141.81,139.92,141.02,2841300,
2020-08-25,141.58,142.22,140.98,141.66,2840700,0.004538363352715846
2020-08-26,141.32,142.69,141.12,142.45,2974138,0.005576733022730318
2020-08-27,143.06,143.23,140.52,141.49,2801034,-0.006739206739206582
2020-08-28,141.51,143.59,141.1,143.49,2884765,0.014135274577708579
2020-08-31,142.65,143.27,141.82,142.15,4344600,-0.009338629869677373
2020-09-01,143.0,145.06,142.04,144.96,3564400,0.0197678508617658
2020-09-02,146.45,148.37,145.49,147.64,4579461,0.018487858719646644
2020-09-03,147.0,147.44,140.56,141.67,5866400,-0.04043619615280414
2020-09-04,140.85,142.52,137.71,140.47,5251718,-0.008470388932025008
2020-09-08,136.2,138.71,135.75,136.04,5893700,-0.031536982985690964
2020-09-09,138.21,140.85,137.19,139.68,5418553,0.02675683622463998
2020-09-10,139.42,141.25,136.22,137.19,3985960,-0.017826460481099704
2020-09-11,138.22,139.0,135.25,136.37,3524401,-0.0059771120344047635
2020-09-14,138.32,139.11,137.63,138.53,3120599,0.015839260834494384
2020-09-15,139.79,141.82,139.36,140.64,2718779,0.015231357828629166
2020-09-16,142.09,142.13,139.61,139.68,3591759,-0.0068259385665527805
2020-09-17,136.42,140.53,135.92,140.4,5646100,0.005154639175257714
2020-09-18,141.14,141.8,137.0,138.66,7025924,-0.01239316239316246
2020-09-21,135.87,137.12,134.32,136.98,6036000,-0.012115967113803583
2020-09-22,137.78,138.82,135.63,138.65,3213217,0.012191560811797508
2020-09-23,139.09,139.09,134.72,135.16,5766588,-0.025171294626758045
2020-09-24,134.12,138.32,134.12,136.69,2911000,0.01131991713524716
2020-09-25,135.95,139.1,134.75,138.32,3036028,0.011924793327968253
2020-09-28,140.22,142.0,139.72,141.94,3454334,0.026171197223828768
2020-09-29,142.29,143.05,141.2,141.5,2747432,-0.0030999013667746267
2020-09-30,141.16,144.25,140.51,142.79,5599600,0.009116607773851593
2020-10-01,145.44,147.22,143.99,144.91,4431200,0.014846978079697593
2020-10-02,142.08,143.93,140.84,141.09,3928603,-0.02636118970395418
2020-10-05,142.29,144.23,141.57,144.08,3052841,0.0211921468566163
2020-10-06,143.85,147.14,142.97,143.85,3418781,-0.001596335369239421
2020-10-07,145.34,147.29,144.81,146.75,2845594,0.020159888773027435
2020-10-08,146.83,148.31,146.56,148.06,2323727,0.008926746166950661
2020-10-09,150.08,151.52,148.85,150.91,4209933,0.019248953127110502
2020-10-12,152.58,155.76,151.83,154.9,5147837,0.026439599761447274
2020-10-13,155.11,155.88,153.68,154.49,3524030,-0.0026468689477081586
2020-10-14,154.5,154.73,152.18,152.77,3267533,-0.011133406692989789
2020-10-15,151.82,153.05,150.86,152.55,2936219,-0.0014400733128231424
2020-10-16,153.97,154.92,152.73,153.12,4600667,0.003736479842674445
2020-10-19,153.28,154.92,150.26,150.76,4225400,-0.01541274817136895
2020-10-20,151.79,152.24,149.69,150.83,3919125,0.0004643141416822427
2020-10-21,149.1,149.46,144.66,146.13,6700600,-0.031160909633362155
2020-10-22,146.82,148.88,145.83,148.22,3167621,0.014302333538630085
2020-10-23,148.42,150.0,148.32,149.96,3509434,0.011739306436378438
2020-10-26,148.2,148.5,144.22,145.95,4290788,-0.026740464123766516
2020-10-27,147.63,148.33,146.55,147.12,4102600,0.008016443987667099
2020-10-28,144.7,145.86,141.76,143.0,7413600,-0.02800435019032088
2020-10-29,141.69,147.31,141.33,146.19,5600400,0.02230769230769236
2020-10-30,145.0,145.95,142.53,144.59,5427118,-0.010944661057527783
2020-11-02,146.46,146.9,144.22,145.6,3756600,0.006985268690780755
2020-11-03,146.86,148.59,146.66,147.3,3588600,0.011675824175824356
2020-11-04,150.8,153.5,148.44,152.03,5015699,0.03211133740665306
2020-11-05,154.84,156.3,154.15,155.56,4638100,0.02321910149312645
2020-11-06,156.05,158.21,154.94,157.74,4217915,0.014013885317562425
2020-11-09,162.0,164.63,156.06,156.22,5308637,-0.009636110054520142
2020-11-10,155.38,156.35,151.02,151.49,5697945,-0.03027781334016122
2020-11-11,154.94,155.94,153.64,155.7,3497200,0.02779061324179799
2020-11-12,156.02,156.93,153.66,154.5,2607100,-0.0077071290944122905
2020-11-13,156.64,157.98,155.16,156.65,2439811,0.013915857605178106
2020-11-16,157.27,159.39,156.62,158.31,3456500,0.010596872007660352
2020-11-17,157.39,158.31,155.18,155.5,3526734,-0.017749984208199066
2020-11-18,155.74,156.34,153.41,153.55,2998439,-0.012540192926044913
2020-11-19,153.12,157.43,152.71,157.27,2465531,0.024226636274829128
2020-11-20,157.32,158.75,156.55,156.82,3013000,-0.0028613212945890476
2020-11-23,156.9,158.71,155.14,157.42,2803289,0.0038260425966074596
2020-11-24,158.62,159.46,156.69,159.35,4962833,0.012260195654935968
2020-11-25,159.55,160.02,157.26,157.6,3543903,-0.010982114841543766
2020-11-27,159.38,160.29,158.78,158.99,3084400,0.008819796954314896
2020-11-30,159.23,161.51,157.72,161.25,4845200,0.01421473048619415
2020-12-01,162.63,164.33,161.63,163.49,4894413,0.013891472868217125
2020-12-02,162.79,163.57,161.82,162.72,4212300,-0.00470976818154023
2020-12-03,163.16,164.56,161.6,161.98,4778646,-0.004547689282202616
2020-12-04,163.01,166.6,162.52,166.52,3741600,0.02802815162365735
2020-12-07,166.37,166.45,165.24,166.29,4645586,-0.0013812154696133394
2020-12-08,166.3,167.24,165.0,166.68,3259900,0.0023453003788562743
2020-12-09,164.8,166.47,161.96,162.76,5594021,-0.023518118550516
2020-12-10,162.16,162.87,160.78,162.0,5597300,-0.004669451953796977
2020-12-11,160.61,161.95,159.63,160.61,4145800,-0.00858024691358017
2020-12-14,161.45,162.75,159.99,160.12,5994265,-0.003050868563601372
2020-12-15,162.02,162.73,161.21,162.38,5732166,0.014114414189357882
2020-12-16,162.94,163.36,160.92,162.12,3148110,-0.001601182411626989
2020-12-17,162.91,163.01,161.41,162.69,5253400,0.003515914137675713
2020-12-18,163.37,164.61,162.1,164.07,7072600,0.008482389821132141
2020-12-21,161.55,162.8,159.56,162.43,3077337,-0.009995733528371908
2020-12-22,162.19,163.46,162.06,162.52,2645599,0.0005540848365450657
2020-12-23,162.2,163.23,160.81,160.98,2012454,-0.009475756829928739
2020-12-24,160.72,161.85,160.48,161.64,1044400,0.004099888184867728
2020-12-28,163.76,163.76,161.0,161.47,2139362,-0.0010517198713189124
2020-12-29,161.96,162.68,160.57,161.18,2433700,-0.0017959992568278293
2020-12-30,161.89,163.13,161.76,162.7,2213800,0.009430450428092652
2020-12-31,162.87,164.39,161.89,164.13,2906200,0.008789182544560514
2021-01-04,164.6,167.84,160.76,162.22,4659971,-0.011637116919514967
2021-01-05,161.7,163.53,161.28,163.41,4734166,0.007335716927629132
2021-01-06,162.3,167.45,162.07,164.22,5254431,0.004956856985496527
2021-01-07,165.33,168.7,164.82,167.94,5673709,0.022652539276580175
2021-01-08,171.12,172.75,168.86,171.16,4556506,0.019173514350363297
2021-01-11,170.24,172.04,169.14,171.31,4553836,0.0008763729843421775
2021-01-12,171.29,173.66,170.97,172.3,3406613,0.005778997139688435
2021-01-13,172.29,172.85,170.87,171.41,2953900,-0.005165409170052371
2021-01-14,171.1,172.54,170.35,171.71,3416354,0.001750189603873853
2021-01-15,170.98,171.09,167.57,169.19,3734645,-0.0146759070525887
2021-01-19,171.19,174.7,171.19,174.19,6278012,0.029552574029197975
2021-01-20,174.84,175.18,172.79,173.33,4329529,-0.004937137608358566
2021-01-21,174.42,175.47,172.11,175.1,3584673,0.01021173484105442
2021-01-22,174.49,175.45,172.75,172.81,3737120,-0.013078241005139879
2021-01-25,173.37,174.57,170.68,172.92,5401900,0.0006365372374284028
2021-01-26,172.07,174.28,171.3,171.47,5341900,-0.008385380522785035
2021-01-27,166.45,167.62,162.04,162.93,10011230,-0.049804630547617634
2021-01-28,167.88,171.1,165.14,169.23,6796641,0.038666912170870926
2021-01-29,166.65,168.0,164.02,165.69,5969800,-0.02091827690125858
2021-02-01,167.36,173.0,167.02,172.46,5715619,0.04085943629669875
2021-02-02,173.05,175.7,172.01,174.75,4861200,0.013278441377710726
2021-02-03,174.78,175.26,168.5,168.58,5019216,-0.035307582260371895
2021-02-04,169.96,172.12,168.06,172.0,3519812,0.020287104045557003
2021-02-05,172.8,173.18,168.06,169.93,4045138,-0.0120348837209302
2021-02-08,171.34,175.39,170.84,175.12,4597600,0.030541987877361176
2021-02-09,174.5,175.22,173.33,173.69,2777700,-0.00816582914572872
2021-02-10,175.2,176.14,172.62,174.36,3414929,0.003857447176003337
2021-02-11,176.0,179.65,175.44,179.22,4776000,0.027873365450791443
2021-02-12,178.0,179.9,177.33,179.64,2532565,0.0023434884499498043
2021-02-16,180.0,181.8,178.84,180.76,3887600,0.006234691605433218
2021-02-17,178.32,180.21,176.36,178.53,4315389,-0.012336800177030316
2021-02-18,177.43,177.52,174.2,176.51,4195117,-0.011314624992998401
2021-02-19,177.86,179.57,176.64,178.35,4248500,0.010424338564387403
2021-02-22,176.0,176.92,172.68,173.09,4386900,-0.029492570787776784
2021-02-23,174.17,174.44,168.51,172.85,6514423,-0.0013865619042117139
2021-02-24,171.63,179.77,170.57,179.39,5100507,0.03783627422620772
2021-02-25,178.5,178.5,170.06,170.53,6099645,-0.049389598082390296
2021-02-26,173.28,173.85,169.13,172.27,6060667,0.010203483258077739
2021-03-01,174.5,177.86,173.09,177.67,4771643,0.03134614268299751
2021-03-02,177.57,177.66,174.15,174.89,5401784,-0.015646985985253603
2021-03-03,174.09,175.62,170.36,170.59,4715900,-0.02458688318371538
2021-03-04,170.5,170.85,161.67,163.25,8318914,-0.043027141098540334
2021-03-05,167.54,168.83,162.03,167.94,5681200,0.028728943338437896
2021-03-08,166.39,168.27,161.77,162.11,6065421,-0.03471477908776932
2021-03-09,167.17,171.85,166.29,170.36,7610300,0.050891370057368546
2021-03-10,171.65,173.0,169.31,169.42,4270661,-0.005517727166001518
2021-03-11,172.51,175.6,172.47,174.95,5002903,0.03264077440679958
2021-03-12,173.02,174.1,170.75,173.57,3514616,-0.00788796799085445
2021-03-15,173.47,175.09,171.76,174.91,3876751,0.007720228150025932
2021-03-16,176.25,178.81,175.83,177.14,4132604,0.012749413984334712
2021-03-17,175.44,180.18,174.42,179.35,4004804,0.0124760076775432
2021-03-18,176.16,179.77,174.24,174.36,4214415,-0.0278226930582659
2021-03-19,175.69,178.05,172.45,175.98,8447300,0.009291121816930259
2021-03-22,178.29,181.69,177.75,180.1,4476247,0.023411751335379094
2021-03-23,181.91,182.57,177.71,178.78,4688580,-0.0073292615213770285
2021-03-24,179.99,182.69,178.78,178.9,5056100,0.0006712160196891137
2021-03-25,177.53,179.45,173.75,178.49,4878534,-0.002291783119060864
2021-03-26,177.76,188.87,177.01,188.2,6363526,0.054400806767886056
2021-03-29,184.85,187.7,183.74,186.18,4983805,-0.010733262486716133
2021-03-30,188.51,188.51,184.62,185.94,4458700,-0.00128907508862397
2021-03-31,187.6,190.45,186.53,188.99,5427730,0.016403140798106897
2021-04-01,191.11,192.54,190.02,192.06,4581397,0.01624424572728711
2021-04-05,194.0,197.58,193.63,196.93,4323937,0.025356659377278046
2021-04-06,194.22,196.84,193.04,194.59,3506904,-0.011882394759559212
2021-04-07,194.46,194.49,191.51,193.09,3678962,-0.007708515339945543
2021-04-08,196.09,196.09,193.35,195.2,3157403,0.010927546739862182
2021-04-09,193.31,195.56,192.74,195.43,3127318,0.0011782786885246033
2021-04-12,192.64,194.72,191.34,192.43,4505091,-0.015350764979788156
2021-04-13,192.14,193.0,189.76,191.24,4009373,-0.006184066933430321
2021-04-14,190.46,191.5,189.01,190.33,3555152,-0.004758418740849146
2021-04-15,191.93,193.53,190.82,193.17,4471900,0.014921452214574638
2021-04-16,193.66,194.78,191.64,191.93,5792918,-0.006419216234404779
2021-04-19,190.35,191.1,186.72,187.06,5334947,-0.02537383421038919
2021-04-20,186.98,186.98,184.28,185.27,4258954,-0.009569122206778524
2021-04-21,187.9,189.14,184.96,188.9,4796529,0.019593026393911472
2021-04-22,186.66,188.79,184.77,185.8,3853113,-0.01641079936474321
2021-04-23,187.02,190.01,186.51,188.82,3512433,0.016254036598492894
2021-04-26,188.86,192.18,187.89,191.36,3842300,0.01345196483423372
2021-04-27,191.06,192.51,189.78,190.21,3864100,-0.006009615384615419
2021-04-28,181.64,184.0,180.0,181.82,9434237,-0.04410914252668108
2021-04-29,183.63,186.05,182.65,185.82,4547337,0.021999780002200042
2021-04-30,182.18,182.9,179.13,180.51,6193600,-0.028576041330319657
2021-05-03,181.49,181.8,177.56,178.8,5136100,-0.009473159381751639
2021-05-04,178.26,179.25,175.53,179.03,5222300,0.0012863534675615629
2021-05-05,181.01,183.18,179.48,181.65,5257339,0.014634418812489614
2021-05-06,181.93,184.84,179.95,184.27,4525823,0.014423341590971583
2021-05-07,186.7,188.1,185.42,187.76,4591506,0.01893959950073243
2021-05-10,187.29,187.29,181.82,182.05,4580438,-0.030411163187047174
2021-05-11,178.41,183.53,177.41,183.2,4641488,0.006316945893985126
2021-05-12,179.69,180.1,176.27,176.6,5297959,-0.03602620087336239
2021-05-13,179.99,180.63,177.25,178.99,4361497,0.013533408833522165
2021-05-14,180.7,184.92,179.5,183.27,4433534,0.02391195038828986
2021-05-17,182.25,182.38,178.85,180.83,4162535,-0.013313690183881732
2021-05-18,181.11,181.86,178.59,178.87,3454202,-0.010838909472985714
2021-05-19,175.24,181.93,175.0,181.72,4780154,0.015933359423044635
2021-05-20,182.28,186.54,182.28,185.3,5387000,0.019700638344706256
2021-05-21,186.69,186.69,184.14,185.01,3682338,-0.0015650296815975517
2021-05-24,186.45,189.35,186.45,188.69,4175900,0.01989081671261017
2021-05-25,189.47,189.68,187.88,188.7,4270225,5.29969791720486e-05
2021-05-26,188.06,189.78,186.93,188.36,4221629,-0.0018018018018016724
2021-05-27,188.74,190.05,187.88,189.13,10107761,0.004087916755149523
2021-05-28,190.05,191.03,189.27,189.82,3306624,0.0036482842489293787
2021-06-01,191.38,192.03,188.04,189.0,4817511,-0.004319881993467445
2021-06-02,189.5,190.86,188.34,190.75,3137967,0.0092592592592593
2021-06-03,187.69,187.86,184.9,186.0,4205441,-0.02490170380078638
2021-06-04,187.78,190.38,187.48,190.07,3462960,0.021881720430107388
2021-06-07,189.2,189.8,187.66,188.55,2726265,-0.007997053717051505
2021-06-08,189.97,189.97,186.11,186.93,3063666,-0.008591885441527447
2021-06-09,188.09,188.13,186.17,186.45,2866943,-0.002567806130637229
2021-06-10,186.34,188.9,185.9,188.0,3188714,0.00831322070260132
2021-06-11,188.08,188.74,186.94,188.67,2309400,0.0035638297872340186
2021-06-14,188.26,190.35,187.07,190.26,3360449,0.008427412943234236
2021-06-15,190.46,190.73,188.12,188.61,2600234,-0.008672343109429104
2021-06-16,189.91,190.49,186.3,187.73,3357942,-0.004665712316420212
2021-06-17,187.24,189.53,186.2,187.65,3222379,-0.00042614393011231044
2021-06-18,186.01,186.31,182.5,183.07,7535331,-0.024407140953903617
2021-06-21,184.25,186.64,183.36,186.11,3771261,0.01660566996230961
2021-06-22,185.49,187.28,184.34,187.04,3299760,0.004997044758475955
2021-06-23,186.48,187.48,185.99,186.1,2473300,-0.0050256629597946745
2021-06-24,188.05,188.7,187.45,188.61,2876892,0.013487372380440732
2021-06-25,188.05,190.25,187.35,188.17,4639336,-0.002332856158210217
