Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,186.33,186.64,184.52,185.11,588200,
2020-08-25,186.32,186.32,184.22,185.97,930800,0.004645886229809326
2020-08-26,185.16,187.06,184.35,186.41,774838,0.002365973006398958
2020-08-27,187.39,188.49,185.52,186.61,855900,0.0010729038141732428
2020-08-28,186.38,187.43,184.7,187.35,955500,0.0039654895236052035
2020-08-31,187.02,187.2,184.81,186.67,903183,-0.003629570322924991
2020-09-01,186.38,188.08,185.36,187.69,639733,0.005464188139497672
2020-09-02,188.3,193.61,188.01,192.79,900716,0.027172465235228316
2020-09-03,192.58,192.77,185.61,187.28,900100,-0.028580320556045424
2020-09-04,188.3,189.62,181.69,182.77,697800,-0.024081589064502307
2020-09-08,181.47,181.47,177.56,178.09,866243,-0.025605952836898815
2020-09-09,179.34,184.25,178.86,182.96,767907,0.027345724072098454
2020-09-10,182.8,184.65,180.47,181.5,659300,-0.007979886313948414
2020-09-11,181.76,183.97,179.25,181.64,551541,0.0007713498622587966
2020-09-14,182.94,186.08,182.12,185.08,971318,0.018938559788592935
2020-09-15,186.32,187.93,185.31,187.84,593400,0.014912470283120705
2020-09-16,189.48,189.77,186.58,186.79,521700,-0.005589863713798993
2020-09-17,184.85,186.06,182.01,184.79,738627,-0.010707211306815179
2020-09-18,183.28,185.05,180.07,181.58,1187022,-0.017371069863087674
2020-09-21,180.14,180.37,176.39,178.68,682048,-0.01597092190769911
2020-09-22,179.52,180.76,178.06,180.39,554542,0.009570181329751293
2020-09-23,181.09,181.09,176.56,177.08,477208,-0.018349132435279025
2020-09-24,176.17,178.78,175.37,177.23,400434,0.0008470747684661273
2020-09-25,176.96,181.73,175.76,181.34,515631,0.02319020481859746
2020-09-28,183.33,185.11,182.96,184.52,623700,0.01753611999558835
2020-09-29,185.02,188.03,184.36,184.38,952347,-0.0007587253414265138
2020-09-30,184.7,186.7,183.19,185.31,1001936,0.005043931012040481
2020-10-01,185.73,188.73,184.93,185.64,808430,0.001780799740974448
2020-10-02,182.64,184.74,180.73,182.1,601000,-0.01906916612798959
2020-10-05,183.08,183.57,180.52,181.79,352400,-0.0017023613399231863
2020-10-06,181.58,183.02,179.5,179.79,507900,-0.011001705264315986
2020-10-07,181.71,183.22,180.81,183.03,562400,0.018021024528616758
2020-10-08,184.42,185.23,182.3,184.9,401200,0.010216904332623011
2020-10-09,185.94,188.03,184.88,187.18,561806,0.012330989724175234
2020-10-12,189.59,193.69,188.79,192.75,923732,0.02975745271930763
2020-10-13,193.57,195.1,190.8,193.65,599207,0.0046692607003890885
2020-10-14,193.49,195.02,191.17,191.76,570600,-0.009759876065065898
2020-10-15,189.76,192.53,189.2,192.02,338130,0.0013558614935336166
2020-10-16,192.56,194.96,191.23,192.47,367842,0.0023435058848035872
2020-10-19,192.17,194.21,187.57,188.5,430915,-0.020626591157063445
2020-10-20,189.57,192.45,188.39,190.36,438068,0.009867374005305019
2020-10-21,189.23,191.4,188.66,189.18,510206,-0.006198781256566588
2020-10-22,189.82,190.18,187.95,188.88,364901,-0.0015857913098636933
2020-10-23,189.24,190.93,187.33,189.25,376945,0.0019589157136805646
2020-10-26,187.49,188.26,184.1,185.49,457427,-0.019867899603698724
2020-10-27,186.17,187.3,184.7,185.15,579246,-0.0018329829101298989
2020-10-28,182.39,183.69,178.91,179.49,567308,-0.03056980826357003
2020-10-29,174.82,181.43,174.82,179.22,619900,-0.0015042620758817238
2020-10-30,178.21,179.81,175.44,177.97,886295,-0.006974668005802931
2020-11-02,180.51,183.68,180.51,182.15,697578,0.0234871045681857
2020-11-03,184.35,189.13,184.35,187.95,607144,0.031841888553389985
2020-11-04,191.49,197.56,189.56,196.39,1202200,0.044905559989358856
2020-11-05,200.31,204.85,192.24,194.41,879700,-0.010081979734202329
2020-11-06,196.46,198.33,195.17,197.35,459432,0.01512267887454355
2020-11-09,204.63,206.43,195.97,196.31,816128,-0.005269825183683796
2020-11-10,193.74,196.76,192.77,195.1,578518,-0.006163720645917192
