Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-21,271.73,273.11,267.99,271.28,1064119,
2020-08-24,269.9,271.94,263.47,267.43,1037528,-0.014191978767325142
2020-08-25,268.17,273.32,266.225,272.35,1316199,0.018397337621059773
2020-08-26,272.86,272.86,268.82,271.29,857565,-0.003892050670093683
2020-08-27,272.95,275.625,269.72,274.34,961049,0.0112425817390982
2020-08-28,272.94,275.26,268.1,269.96,813757,-0.015965590143617425
2020-08-31,270.35,279.74,270.0,279.12,1311319,0.03393095273373836
2020-09-01,277.87,279.96,271.77,275.49,1252788,-0.013005159071367123
2020-09-02,275.64,283.45,273.72,281.89,1352375,0.023231333260735232
2020-09-03,281.86,281.86,265.25,267.42,1619607,-0.05133207988931843
2020-09-04,267.84,269.91,263.01,266.5,1514846,-0.0034402812055942533
2020-09-08,261.78,264.84,258.0,258.61,1264731,-0.029606003752345122
2020-09-09,261.11,264.36,259.04,263.04,1829238,0.01713004137504348
2020-09-10,262.95,263.5816,253.97,255.65,1231917,-0.028094586374695862
2020-09-11,257.84,262.08,255.765,257.96,1169728,0.009035791120672654
2020-09-14,261.24,268.4,260.87,264.8,1200487,0.0265157388742443
2020-09-15,266.77,267.88,264.2375,266.85,1217533,0.0077416918429003
2020-09-16,271.0,273.55,267.31,267.55,1387524,0.0026231965523701994
2020-09-17,258.98,273.244,258.82,271.46,1763634,0.014614090824144998
2020-09-18,273.3,273.59,257.415,265.39,2179548,-0.022360568776246925
2020-09-21,264.14,264.94,259.27,264.0,1150781,-0.005237574889784824
2020-09-22,263.66,268.0,260.38,267.58,817683,0.01356060606060594
2020-09-23,267.87,270.085,262.75,263.82,864429,-0.01405187233724492
2020-09-24,262.14,263.9,257.5,263.13,1422617,-0.0026154196042755817
2020-09-25,264.1,268.91,260.52,268.18,1345847,0.019192034355641763
2020-09-28,269.9,270.585,264.23,267.73,1103301,-0.0016779774778133971
2020-09-29,267.82,271.68,266.38,270.31,891669,0.009636574160534872
2020-09-30,271.33,274.66,269.465,272.12,1382840,0.006696015685694112
2020-10-01,272.9,275.4,270.65,273.51,932574,0.005108040570336536
2020-10-02,269.34,272.79,260.13,260.8,1339385,-0.046469964535117425
2020-10-05,262.86,269.07,261.7,268.98,1303341,0.03136503067484675
2020-10-06,269.89,270.5,260.26,260.98,1023100,-0.029741988251914653
2020-10-07,263.18,266.5,262.1,265.82,764284,0.018545482412445358
2020-10-08,267.16,268.92,264.91,268.53,777761,0.010194868708148341
2020-10-09,268.865,270.075,266.2401,269.95,877773,0.005288049752355528
2020-10-12,273.14,277.33,269.575,274.6,1331313,0.017225412113354377
2020-10-13,275.88,280.99,274.48,276.09,1087986,0.0054260742898759595
2020-10-14,275.19,275.75,269.789,271.46,1046518,-0.01676989387518557
2020-10-15,227.55,232.46,213.1701,215.28,17492971,-0.2069549841597288
2020-10-16,217.79,225.0,217.19,218.08,5957623,0.013006317354143482
2020-10-19,219.0782,225.97,217.25,220.51,3789629,0.011142699926632416
2020-10-20,222.0,222.62,214.48,214.54,2924795,-0.027073602104212946
2020-10-21,215.885,217.93,209.16,211.38,2775667,-0.014729188030204177
2020-10-22,210.37,214.74,208.23,210.08,2380567,-0.006150061500614923
2020-10-23,212.19,213.51,209.07,211.58,1715758,0.007140137090632104
2020-10-26,209.75,210.54,204.845,207.15,2087483,-0.020937706777578224
2020-10-27,208.35,213.58,206.7889,212.19,2756330,0.02433019551049953
2020-10-28,212.0,214.24,208.25,208.34,2221370,-0.018144116122343124
2020-10-29,209.01,210.375,205.0,207.01,1931045,-0.006383795718537089
2020-10-30,205.93,211.64,203.51,208.36,2829604,0.006521424085793148
2020-11-02,211.14,211.448,202.565,207.42,1877706,-0.004511422537915255
2020-11-03,208.92,214.88,208.0,211.14,1892048,0.01793462539774371
2020-11-04,218.27,223.7683,214.22,215.09,3778577,0.018707966278298738
2020-11-05,220.08,220.92,216.2209,219.48,2347518,0.020410060904737515
2020-11-06,219.12,221.72,216.36,220.28,1707943,0.003644979041370622
2020-11-09,224.41,229.08,221.5,222.85,2478342,0.011666969311785014
2020-11-10,223.77,224.74,215.06,215.35,1917814,-0.033654924837334566
2020-11-11,217.12,218.8,213.65,216.72,1647432,0.0063617367076851394
2020-11-12,217.05,221.315,216.9,218.31,2144061,0.007336655592469654
2020-11-13,222.28,227.2683,219.64,225.52,1695453,0.033026430305528764
2020-11-16,225.99,227.355,221.79,224.27,1706781,-0.005542745654487424
2020-11-17,222.72,223.43,218.23,222.96,1750676,-0.005841173585410475
2020-11-18,222.71,223.77,216.34,216.35,2500645,-0.029646573376390428
2020-11-19,216.42,218.141,211.395,211.97,2604055,-0.020244973422694712
2020-11-20,212.3511,217.23,210.04,215.21,2239270,0.015285181865358322
2020-11-23,216.78,218.29,214.14,217.87,1852049,0.012360020445146613
2020-11-24,215.53,219.47,215.13,216.5,2179767,-0.006288153486023851
2020-11-25,217.87,220.54,215.84,218.1,2033279,0.007390300230946778
2020-11-27,219.61,226.72,219.61,226.71,1052834,0.03947730398899596
2020-11-30,231.0,232.17,224.3,227.75,4585577,0.004587358299148692
2020-12-01,227.47,230.56,226.02,230.3,1762018,0.011196487376509356
2020-12-02,230.3,232.45,226.32,226.7,1864363,-0.01563178462874526
2020-12-03,226.0,229.05,224.71,226.87,1291766,0.0007498897220996614
2020-12-04,227.3,230.21,225.59,228.32,948938,0.006391325428659611
2020-12-07,231.0,231.42,225.12,227.06,1219745,-0.005518570427470171
2020-12-08,228.8083,230.2,225.4,229.83,1329922,0.012199418655861827
2020-12-09,230.0,231.0,221.31,224.38,1992308,-0.02371317930644401
2020-12-10,224.81,224.89,221.7,224.04,1462606,-0.001515286567430274
2020-12-11,224.1,224.5593,220.93,224.17,1476048,0.0005802535261560937
2020-12-14,226.79,233.47,226.425,228.13,2220204,0.017665164830262814
2020-12-15,229.7,230.6,226.0,228.81,1189846,0.0029807565861570406
2020-12-16,229.66,232.75,228.55,232.11,1708917,0.014422446571391134
2020-12-17,233.0,237.35,232.32,236.92,1992842,0.020722933092068407
2020-12-18,238.54,239.71,234.47,236.72,2929448,-0.0008441668073611019
2020-12-21,233.02,235.58,228.8,234.55,1567079,-0.009166948293342303
2020-12-22,235.01,235.795,232.35,234.9,1128635,0.0014922191430397636
2020-12-23,235.4,238.57,234.08,235.84,1013122,0.004001702852277633
