Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,21.94,22.88,21.89,22.81,3604441,
2020-08-25,22.93,23.01,22.38,22.86,3359622,0.0021920210434021037
2020-08-26,22.89,23.05,22.57,22.77,2597159,-0.003937007874015741
2020-08-27,22.77,23.12,22.65,22.86,3296509,0.0039525691699604515
2020-08-28,22.88,22.98,22.69,22.88,3012911,0.0008748906386701893
2020-08-31,22.8,22.95,21.99,22.07,4060388,-0.03540209790209781
2020-09-01,22.04,22.04,21.27,21.42,4101470,-0.029451744449478845
2020-09-02,21.3,22.13,21.22,21.81,4066088,0.0182072829131652
2020-09-03,21.97,22.68,21.46,21.64,5404455,-0.007794589637780791
2020-09-04,21.88,22.88,21.8,22.81,9453242,0.0540665434380776
2020-09-08,22.57,23.2,22.43,22.5,5360110,-0.013590530469092421
2020-09-09,22.52,23.19,22.12,23.06,4488498,0.02488888888888874
2020-09-10,23.23,23.8,23.23,23.45,5316933,0.016912402428447493
2020-09-11,23.41,23.58,22.55,22.83,5007601,-0.02643923240938173
2020-09-14,23.0,23.89,22.91,23.77,5051921,0.04117389399912397
2020-09-15,23.85,24.12,23.64,23.82,3402038,0.0021034917963820288
2020-09-16,23.94,24.77,23.89,24.27,3517134,0.018891687657430767
2020-09-17,24.05,24.68,23.89,24.2,4015534,-0.002884219200659288
2020-09-18,24.04,24.32,23.76,23.88,5109467,-0.013223140495867813
2020-09-21,23.43,23.52,22.29,22.42,4096507,-0.06113902847571173
2020-09-22,22.42,22.77,22.18,22.33,2466805,-0.004014272970562116
2020-09-23,22.0,22.58,21.09,21.12,3930726,-0.054187192118226535
2020-09-24,21.21,21.55,20.79,21.32,3377208,0.009469696969697017
2020-09-25,21.07,21.42,20.87,21.33,2414577,0.00046904315196982793
2020-09-28,21.75,22.12,21.56,21.95,3105823,0.029067041725269638
2020-09-29,21.93,22.13,21.59,21.75,2295769,-0.009111617312072884
2020-09-30,21.89,22.3,21.64,21.77,2872662,0.0009195402298849409
2020-10-01,21.89,22.02,21.24,21.51,3595584,-0.011943040881947531
2020-10-02,21.15,21.6,21.06,21.5,2568467,-0.00046490004649002437
2020-10-05,21.96,22.13,21.62,21.91,2154699,0.019069767441860508
2020-10-06,22.05,22.12,21.49,21.52,2557328,-0.01780009128251947
2020-10-07,21.53,22.34,21.41,22.19,2665899,0.031133828996282586
2020-10-08,22.33,22.79,22.28,22.77,3097547,0.02613789995493465
2020-10-09,22.85,23.05,22.23,22.24,3039819,-0.02327624066754508
2020-10-12,22.17,22.42,21.91,22.34,1877648,0.004496402877697925
2020-10-13,22.26,22.44,21.46,21.57,5107445,-0.03446732318710832
2020-10-14,21.65,21.76,20.89,20.93,6082454,-0.02967083912841917
