Date,Open,High,Low,Close,Volume,Daily_Return
2020-08-24,194.15,194.66,190.945,191.6,1328913,
2020-08-25,191.5,194.57,189.32,194.03,1862283,0.012682672233820469
2020-08-26,200.95,214.95,199.43,213.62,6196747,0.10096376848940891
2020-08-27,211.7,219.29,209.0,216.63,5558760,0.014090440969946494
2020-08-28,240.0,248.75,238.08,243.88,11258774,0.12579051839542066
2020-08-31,241.13,246.9,238.31,239.71,3606171,-0.01709857306872231
2020-09-01,241.7,244.75,238.0,241.75,2412924,0.008510283258937879
2020-09-02,242.8,243.38,232.12,233.48,3429442,-0.03420889348500522
2020-09-03,230.26,233.23,219.89,223.0,3212200,-0.04488607161212943
2020-09-04,223.0257,223.32,210.53,215.8,2585034,-0.03228699551569503
2020-09-08,208.89,214.6,207.1,208.58,2413573,-0.03345690454124184
2020-09-09,213.08,213.78,206.27,210.75,2149349,0.010403682040464046
2020-09-10,211.11,216.33,205.38,207.31,1844025,-0.016322657176749744
2020-09-11,210.251,210.51,201.39,206.2,1653242,-0.005354300323187511
2020-09-14,209.6,211.39,205.14,208.41,1510054,0.010717749757517048
2020-09-15,210.7,212.94,206.0,207.63,1712552,-0.0037426227148409374
2020-09-16,209.55,210.295,204.18,205.62,1720485,-0.009680681982372485
2020-09-17,198.9,203.38,195.88,203.19,2771728,-0.01181791654508324
2020-09-18,203.87,205.17,196.2,200.45,2307557,-0.013484915596239988
2020-09-21,197.73,203.91,195.81,203.55,1431998,0.015465203292591712
2020-09-22,206.675,212.43,203.78,211.8,1831742,0.040530582166543816
2020-09-23,211.59,213.9,206.73,207.39,1743274,-0.02082152974504259
2020-09-24,206.56,211.05,204.165,208.69,1185043,0.006268383239307562
2020-09-25,209.64,216.13,207.79,215.78,1220251,0.03397383679141308
2020-09-28,218.54,221.5,215.25,220.34,2411045,0.021132635091296592
2020-09-29,221.28,222.88,219.7,220.78,1723602,0.0019969138603974645
2020-09-30,220.52,222.5,214.0,215.13,2123481,-0.025591086149107767
2020-10-01,222.75,222.75,216.7,220.52,2390053,0.025054618137870133
2020-10-02,219.29,225.55,218.0008,218.98,1680580,-0.006983493560674847
2020-10-05,219.67,224.58,217.58,222.04,1309475,0.013973878893049685
2020-10-06,223.18,225.69,215.72,217.01,1463384,-0.02265357593226447
2020-10-07,227.29,230.27,223.6,227.21,2500561,0.04700244228376582
2020-10-08,229.23,229.595,222.6,224.04,842898,-0.013951850710796299
2020-10-09,226.0,226.68,224.325,225.73,830050,0.007543295840028552
2020-10-12,229.36,230.14,224.755,228.19,1371697,0.010897975457405007
2020-10-13,228.67,236.84,228.04,232.9,1801728,0.02064069415837677
2020-10-14,236.6,236.6,227.55,230.54,1209071,-0.010133104336625176
2020-10-15,224.13,228.21,222.51,226.67,1904819,-0.01678667476359852
2020-10-16,227.15,231.1,227.15,229.45,1136931,0.012264525521683556
2020-10-19,229.76,231.85,226.51,227.64,1356085,-0.007888428851601681
2020-10-20,230.785,233.78,224.34,224.43,1894252,-0.014101212440695732
2020-10-21,225.91,226.945,222.1,224.31,1349307,-0.0005346878759524554
2020-10-22,224.43,225.98,218.21,220.85,637377,-0.015425081360617043
2020-10-23,221.49,224.27,219.03,224.14,688208,0.014896988906497599
2020-10-26,218.65,222.82,208.88,210.33,3862569,-0.061613277415900614
2020-10-27,211.8,216.16,211.51,214.17,1227962,0.018257024675509825
2020-10-28,210.01,212.3665,207.23,209.7,1129569,-0.02087127048606252
2020-10-29,211.53,218.29,211.53,217.63,1708841,0.03781592751549834
2020-10-30,215.17,217.85,208.155,210.12,1920479,-0.03450811009511556
2020-11-02,209.73,212.5,201.615,205.48,1362791,-0.022082619455549235
2020-11-03,206.51,209.88,205.055,209.18,1067550,0.018006618649017092
2020-11-04,219.11,224.78,213.51,215.24,2729688,0.028970264843675375
2020-11-05,226.26,231.43,223.42,225.23,1972029,0.04641330607693739
2020-11-06,224.99,227.81,219.22,225.0,1248122,-0.001021178351018892
2020-11-09,222.68,228.95,218.59,223.4,1824697,-0.007111111111111068
2020-11-10,221.06,222.1939,209.99,213.9,1519125,-0.04252461951656217
2020-11-11,216.43,221.55,214.39,218.62,1186783,0.022066386161757823
2020-11-12,220.14,224.385,218.61,219.81,1065816,0.005443234836702837
2020-11-13,220.83,223.795,218.47,222.0,1106533,0.009963149993175824
2020-11-16,219.08,225.81,218.885,224.97,1642477,0.013378378378378297
2020-11-17,224.93,228.24,221.9,226.78,1510499,0.008045517180068407
2020-11-18,226.5,228.2,222.36,223.61,2653069,-0.01397830496516439
2020-11-19,224.27,231.94,223.46,230.8,4133858,0.0321541970394883
2020-11-20,220.22,222.45,209.05,209.4,12274617,-0.0927209705372617
2020-11-23,210.47,212.24,204.86,207.1,4461321,-0.010983763132760282
2020-11-24,208.44,213.28,205.1386,213.14,3333210,0.029164654756156372
2020-11-25,214.0,216.9,209.53,214.88,2614932,0.008163648306277693
2020-11-27,215.0,224.69,214.0,223.86,2006355,0.04179076693968731
2020-11-30,223.44,225.1,218.54,224.79,2526493,0.004154382203162665
2020-12-01,223.44,229.16,222.9,225.7,2809980,0.004048222785711042
2020-12-02,222.21,226.07,219.78,225.43,1872011,-0.0011962782454585374
2020-12-03,224.0,226.79,223.36,224.17,1287203,-0.005589318191900006
2020-12-04,224.82,226.49,221.31,222.18,1338471,-0.00887719141722787
2020-12-07,222.06,228.6,221.41,227.28,1628983,0.022954361328652473
2020-12-08,228.0,230.71,225.06,228.17,1636885,0.003915874692009824
2020-12-09,228.05,228.83,218.31,219.48,2110043,-0.038085637901564606
2020-12-10,217.45,222.0,215.77,218.29,2804392,-0.005421906324038606
2020-12-11,219.09,220.22,214.7667,219.24,1835142,0.0043520087956390174
2020-12-14,219.01,224.1,218.66,220.37,2563554,0.005154168947272275
2020-12-15,221.68,225.15,218.76,220.25,1946780,-0.0005445387303172344
2020-12-16,223.99,231.0,222.72,230.59,1902720,0.04694665153234956
2020-12-17,232.2585,240.82,232.0,239.81,2779814,0.039984387874582694
2020-12-18,241.98,244.7694,239.01,241.39,4011456,0.00658854926817054
2020-12-21,238.73,242.74,236.1,242.32,1786313,0.003852686523882598
2020-12-22,242.0,258.37,241.94,257.71,4136326,0.06351105975569493
2020-12-23,256.28,259.01,248.69,248.76,1638798,-0.03472895890729888
2020-12-24,247.87,251.35,245.43,248.76,599924,0.0
2020-12-28,250.75,251.02,241.54,241.92,1139123,-0.02749638205499283
2020-12-29,242.8,243.67,235.52,237.72,1407928,-0.01736111111111105
2020-12-30,237.78,239.87,236.82,236.93,1140434,-0.0033232374221773275
2020-12-31,238.0,242.5,236.93,239.61,1329653,0.01131135778499992
2021-01-04,240.11,240.68,224.4,228.08,3332830,-0.04811986144150915
2021-01-05,226.57,227.305,223.52,225.36,2773796,-0.011925640126271508
2021-01-06,221.75,224.89,217.8494,220.0,2292580,-0.023784167554135704
2021-01-07,222.87,228.0,222.61,226.21,1939022,0.028227272727272767
2021-01-08,226.0,229.43,224.84,227.65,1666914,0.006365766323327859
2021-01-11,226.95,229.91,224.075,228.83,1655068,0.00518339556336489
2021-01-12,229.16,229.56,222.53,225.62,1345061,-0.014027880959664452
2021-01-13,228.0,231.695,227.05,229.07,1638270,0.015291197588866101
2021-01-14,229.9,235.6875,227.02,227.33,1411232,-0.007595931374688836
2021-01-15,231.98,231.98,222.35,222.56,2249640,-0.02098271235648619
2021-01-19,223.5,225.65,218.23,221.04,2015710,-0.006829618979151686
2021-01-20,223.91,228.68,221.25,226.79,2608179,0.026013391241404227
2021-01-21,227.43,231.97,225.59,229.39,1500945,0.011464350279994706
2021-01-22,231.9165,236.06,230.53,235.53,1792017,0.02676664196346845
2021-01-25,237.59,240.6,230.35,234.99,1999956,-0.002292701566679378
2021-01-26,235.23,236.56,232.73,235.6,1701534,0.002595855142772052
2021-01-27,229.17,232.465,221.265,223.45,2509439,-0.051570458404074704
2021-01-28,223.56,230.215,221.7979,228.56,2054384,0.022868650704855664
2021-01-29,225.5035,228.985,222.8,227.53,2835890,-0.004506475323766246
2021-02-01,228.52,241.65,228.52,236.69,4139262,0.04025842746011521
2021-02-02,238.9,259.1,237.71,257.76,5639985,0.08901939245426504
2021-02-03,253.71,261.62,253.37,258.63,3595104,0.0033752327746741084
2021-02-04,259.0,265.5,258.27,264.19,1723522,0.021497892742528002
2021-02-05,264.19,266.18,261.28,263.95,1852525,-0.0009084371096559352
2021-02-08,269.0,273.34,268.53,272.79,2107846,0.033491191513544294
2021-02-09,270.22,275.87,267.43,275.37,1588869,0.009457824700318973
2021-02-10,276.0,277.41,272.2,274.09,1259752,-0.0046482913897666345
2021-02-11,274.43,278.14,273.68,275.99,1510497,0.006932029625305702
2021-02-12,276.83,282.11,273.99,281.36,1763910,0.01945722671111283
2021-02-16,280.15,282.77,272.21,274.87,2376474,-0.02306653397782199
2021-02-17,268.08,272.6762,266.09,271.05,1644976,-0.013897478808163832
2021-02-18,268.71,274.31,266.44,272.79,1432521,0.006419479800774841
2021-02-19,274.93,277.13,273.81,276.34,1366215,0.01301367352175653
2021-02-22,271.37,273.39,266.55,269.95,1846884,-0.023123688210175852
2021-02-23,260.59,265.51,254.17,261.73,1943625,-0.030450083348768198
2021-02-24,261.15,263.165,255.23,262.78,1841656,0.004011767852366788
2021-02-25,261.0,264.94,249.58,251.19,2311554,-0.04410533526143534
2021-02-26,251.18,258.67,242.815,245.18,4430156,-0.023926111708268638
2021-03-01,248.67,253.52,244.75,252.8,2794415,0.031079207113141383
2021-03-02,256.78,256.78,247.74,247.96,1333635,-0.019145569620253156
2021-03-03,245.83,246.65,235.88,236.7,1868275,-0.04541055008872408
2021-03-04,234.675,237.18,226.435,230.35,2396492,-0.02682720743557243
